ID	Inhibitor.1	Inhibitor.2	Pearson.cor.coef	p.value	Bonf_adj_p.value	class_comparison	sign	all_same.	observed	possible	obs_poss
71	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.4353681	1.31e-14	2.22e-12	Interclass	FALSE	same	16	30	16/30
72	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.4412042	3.04e-15	5.16e-13	Interclass	FALSE	same	16	30	16/30
73	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.4058909	3.59e-12	6.1e-10	Interclass	FALSE	same	16	30	16/30
74	Phenolic acid - Phenolic aldehyde	Phenolic acid	Phenolic aldehyde	0.5042663	1.35e-17	2.3e-15	Interclass	FALSE	same	16	30	16/30
75	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.3765681	4.08e-10	6.94e-08	Interclass	FALSE	same	16	30	16/30
76	Phenolic acid - Phenolic aldehyde	Phenolic aldehyde	Phenolic acid	0.2922338	4.06e-07	6.9e-05	Interclass	FALSE	same	16	30	16/30
77	Phenolic acid - Phenolic amide	Phenolic acid	Phenolic amide	0.7836166	6.08e-52	1.03e-49	Interclass	FALSE	same	12	20	12/20
78	Phenolic acid - Phenolic amide	Phenolic acid	Phenolic amide	0.531638	2.12e-18	3.61e-16	Interclass	FALSE	same	12	20	12/20
79	Phenolic acid - Phenolic amide	Phenolic amide	Phenolic acid	0.7827473	6.78e-50	1.15e-47	Interclass	FALSE	same	12	20	12/20
80	Phenolic acid - Phenolic amide	Phenolic amide	Phenolic acid	0.3925943	2.61e-12	4.43e-10	Interclass	FALSE	same	12	20	12/20
81	Phenolic acid - Phenolic amide	Phenolic amide	Phenolic acid	0.331989	7.74e-09	1.32e-06	Interclass	FALSE	same	12	20	12/20
82	Phenolic acid - Phenolic amide	Phenolic amide	Phenolic acid	0.594658	2.96e-26	5.03e-24	Interclass	FALSE	same	12	20	12/20
83	Phenolic acid - Phenolic amide	Phenolic acid	Phenolic amide	0.5840207	1.25e-25	2.13e-23	Interclass	FALSE	same	12	20	12/20
84	Phenolic acid - Phenolic amide	Phenolic acid	Phenolic amide	0.6763214	6.57e-33	1.12e-30	Interclass	FALSE	same	12	20	12/20
85	Phenolic acid - Phenolic amide	Phenolic amide	Phenolic acid	0.5796471	9.49e-24	1.61e-21	Interclass	FALSE	same	12	20	12/20
86	Phenolic acid - Phenolic amide	Phenolic acid	Phenolic amide	0.5440532	1.39e-19	2.37e-17	Interclass	FALSE	same	12	20	12/20
87	Phenolic acid - Phenolic amide	Phenolic acid	Phenolic amide	0.556971	4.88e-21	8.3e-19	Interclass	FALSE	same	12	20	12/20
88	Phenolic acid - Phenolic amide	Phenolic acid	Phenolic amide	0.445737	1.39e-14	2.36e-12	Interclass	FALSE	same	12	20	12/20
89	Phenolic acid - Phenone	Phenolic acid	Phenone	0.5194015	1.13e-18	1.92e-16	Interclass	FALSE	same	9	30	9/30
90	Phenolic acid - Phenone	Phenolic acid	Phenone	0.3921217	8.43e-11	1.43e-08	Interclass	FALSE	same	9	30	9/30
91	Phenolic acid - Phenone	Phenolic acid	Phenone	0.3113369	5.95e-07	0.000101	Interclass	FALSE	same	9	30	9/30
92	Phenolic acid - Phenone	Phenolic acid	Phenone	0.3436964	2.21e-07	3.76e-05	Interclass	FALSE	same	9	30	9/30
93	Phenolic acid - Phenone	Phenolic acid	Phenone	0.3312482	2.88e-07	4.9e-05	Interclass	FALSE	same	9	30	9/30
94	Phenolic acid - Phenone	Phenolic acid	Phenone	0.4265552	6.41e-13	1.09e-10	Interclass	FALSE	same	9	30	9/30
95	Phenolic acid - Phenone	Phenolic acid	Phenone	0.3786925	8.31e-11	1.41e-08	Interclass	FALSE	same	9	30	9/30
96	Phenolic acid - Phenone	Phenolic acid	Phenone	0.4782241	3.09e-17	5.26e-15	Interclass	FALSE	same	9	30	9/30
97	Phenolic acid - Phenone	Phenolic acid	Phenone	0.3499289	4.37e-08	7.43e-06	Interclass	FALSE	same	9	30	9/30
