"gene"	"Methylimidazole2"
"271"	"YBR225W"	-0.0341633460483437
"272"	"YBR226C"	0.0465830342400473
"273"	"YBR229C"	-0.00737670220211908
"274"	"YBR231C"	-0.0952357435193375
"275"	"YBR232C"	-0.0909496582565501
"276"	"YBR233W"	-0.277103485014044
"277"	"YBR235W"	-0.143758551750711
"278"	"YBR239C"	0.0310387810672914
"279"	"YBR240C"	0.414266311396153
"280"	"YBR241C"	0.0162143395842685
"281"	"YBR245C"	-0.0898589131533887
"282"	"YBR248C"	-0.215931965570908
"283"	"YBR250W"	0.0874155841016346
"284"	"YBR255W"	-0.100927619033436
"285"	"YBR258C"	-0.0843165373175536
"286"	"YBR259W"	0.0130196630719919
"287"	"YBR260C"	0.0225117548432082
"288"	"YBR261C"	-0.0730570687011383
"289"	"YBR262C"	-0.0328871436078627
"290"	"YBR263W"	-0.0180800613804943
"291"	"YBR264C"	-0.0361914787237906
"292"	"YBR266C"	-0.214834114069332
"293"	"YBR267W"	0.0972801989570797
"294"	"YBR269C"	0.233664315131155
"295"	"YBR270C"	-0.0888408684260164
"296"	"YBR271W"	0.0145570414219591
"297"	"YBR274W"	-0.199432319731846
"298"	"YBR275C"	-0.000295822362666928
"299"	"YBR276C"	0.131463098297455
"300"	"YBR277C"	0.0580602229240746
"301"	"YBR278W"	0.00545791123919342
"302"	"YBR280C"	-0.0268997109679657
"303"	"YBR281C"	0.00966232412040934
"304"	"YBR283C"	-0.07946414974943
"305"	"YBR284W"	0.157698819823709
"306"	"YBR285W"	-0.0690463363852935
"307"	"YBR286W"	-0.00834629476693203
"308"	"YBR287W"	0.0913561588516719
"309"	"YBR289W"	-0.328987545512488
"310"	"YBR290W"	0.057112880530267
"311"	"YBR291C"	-0.478530037219066
"312"	"YBR292C"	-0.0629460961742647
"313"	"YBR293W"	-0.152624804804797
"314"	"YBR294W"	0.0702927658965896
"315"	"YBR295W"	0.109145080836589
"316"	"YBR296C"	-0.124525649698664
"317"	"YBR297W"	-0.112616086297958
"318"	"YBR298C"	-0.0253857256300325
"319"	"YBR301W"	0.0325499027016569
"320"	"YCL001W-A"	0.0131159673416369
"321"	"YCL001W"	-0.186127713278939
"322"	"YCL006C"	-0.0715064271791103
"323"	"YCL010C"	0.0400869446625811
"324"	"YCL011C"	-0.0657753258038525
"325"	"YCL012W"	-0.159553287663032
"326"	"YCL013W"	-0.0399594001191785
"327"	"YCL014W"	-0.0785786780558591
"328"	"YCL016C"	-1.82815575964144
"329"	"YCL022C"	0.013524567017436
"330"	"YCL023C"	-0.112603010134197
"331"	"YCL024W"	-0.130873776396897
"332"	"YCL025C"	0.161609191677797
"333"	"YCL026C-A"	-0.00974541660214888
"334"	"YCL026C"	0.022884885163427
"335"	"YCL027W"	-0.0269307980586653
"336"	"YCL028W"	0.0463653152040207
"337"	"YCL029C"	0.132324361119749
"338"	"YCL034W"	-0.521407620689152
"339"	"YCL035C"	0.0323091971661566
"340"	"YCL038C"	0.20023324037957
"341"	"YCL039W"	-0.0543431285866915
"342"	"YCL042W"	-0.21138281988048
"343"	"YCL046W"	-0.0615616530696215
"344"	"YCL048W"	0.0979632239703819
"345"	"YCL049C"	0.165622834968715
"346"	"YCL050C"	-0.132468994002678
"347"	"YCL051W"	0.0179050123444039
"348"	"YCL055W"	-0.124249713847154
"349"	"YCL057W"	0.0519311600879792
"350"	"YCL061C"	-0.0204380229846897
"351"	"YCL062W"	0.0752261645579694
"352"	"YCL063W"	0.287335876533168
"353"	"YCL064C"	0.0552174261655624
"354"	"YCL069W"	0.0575885082407848
"355"	"YCL074W"	0.0833150700545219
"356"	"YCL075W"	-0.0786951714964276
"357"	"YCL076W"	0.0301749613588975
"358"	"YCR001W"	0.0190052702119435
"359"	"YCR005C"	0.110427269209087
"360"	"YCR006C"	-0.0617672874869644
"361"	"YCR007C"	-0.160230715024998
"362"	"YCR008W"	0.0558090517305796
"363"	"YCR009C"	0.433689406899121
"364"	"YCR010C"	-0.0199577983531065
"365"	"YCR011C"	-0.0061399722572118
"366"	"YCR014C"	-0.0424768728766526
"367"	"YCR015C"	-0.0707211456864802
"368"	"YCR016W"	0.100730897057838
"369"	"YCR017C"	0.0148611221122181
"370"	"YCR019W"	-0.308485033726202
"371"	"YCR020C-A"	-0.2889698997573
"372"	"YCR020C"	-0.164031903951956
"373"	"YCR021C"	-0.108725046606
"374"	"YCR022C"	-0.214717110566455
"375"	"YCR023C"	-0.131844831598084
"376"	"YCR024C-A"	0.0964465155278687
"377"	"YCR025C"	-0.37594102743041
"378"	"YCR027C"	-0.164002403038621
"379"	"YCR028C-A"	-0.256167843024043
"380"	"YCR030C"	0.207852457148223
"381"	"YCR031C"	-0.0805485546064335
"382"	"YCR032W"	-0.18883363206335
"383"	"YCR033W"	-0.218035673842704
"384"	"YCR034W"	0.165881503906984
"385"	"YCR036W"	-0.201945088805943
"386"	"YCR037C"	0.0405860441597893
"387"	"YCR043C"	-0.185656232833836
"388"	"YCR044C"	-0.316547046356064
"389"	"YCR045C"	0.0093389414860077
"390"	"YCR048W"	0.0135080700161755
"391"	"YCR049C"	-0.00605397891899192
"392"	"YCR050C"	-0.00890888103297355
"393"	"YCR051W"	0.0152651703360851
"394"	"YCR053W"	-0.0703243765258621
"395"	"YCR059C"	0.010796080961155
"396"	"YCR060W"	-0.0473873642990034
"397"	"YCR061W"	-0.139182192526382
"398"	"YCR062W"	0.118905178249199
"399"	"YCR065W"	0.0909287527420203
"400"	"YCR068W"	0.103345208253486
"401"	"YCR069W"	-0.100314448223577
"402"	"YCR071C"	-0.435781183904816
"403"	"YCR073C"	0.0147716814852551
"404"	"YCR073W-A"	-0.685920987983622
"405"	"YCR075C"	0.0240883056152508
"406"	"YCR076C"	-0.0641963745418784
"407"	"YCR077C"	-0.436524718524422
"408"	"YCR079W"	0.0472088083830127
"409"	"YCR081W"	-0.0333936240944035
"410"	"YCR082W"	-0.243093309836297
"411"	"YCR085W"	-0.0942041077195636
"412"	"YCR086W"	0.206551996938524
"413"	"YCR087C-A"	-0.0375898157993523
"414"	"YCR087W"	0.0259613589454971
"415"	"YCR088W"	0.204043544245157
"416"	"YCR090C"	-0.0585091465844691
"417"	"YCR092C"	0.0264674051881049
"418"	"YCR095C"	-0.18202690304871
"419"	"YCR098C"	0.0842093473524132
"420"	"YCR099C"	0.0521842714531536
"421"	"YCR100C"	0.248117733204314
"422"	"YCR101C"	0.201051160567557
"423"	"YCR102C"	0.143787089178545
"424"	"YCR102W-A"	-0.156539989204548
"425"	"YCR105W"	0.0921611108175708
"426"	"YCR106W"	0.109551420329328
"427"	"YCR107W"	0.153963402235426
"428"	"YDL001W"	-0.326192240975255
"429"	"YDL002C"	0.0210785513140251
"430"	"YDL006W"	-0.431745127462964
"431"	"YDL010W"	-0.00439971954511079
"432"	"YDL011C"	0.215555049992711
"433"	"YDL012C"	-0.252404282720432
"434"	"YDL013W"	-0.409795535202603
"435"	"YDL018C"	0.00664518515398824
"436"	"YDL019C"	-0.0793342823757063
"437"	"YDL020C"	0.251847083436937
"438"	"YDL024C"	0.0994012888896373
"439"	"YDL025C"	0.0743512301314835
"440"	"YDL026W"	-0.0495010721409686
"441"	"YDL035C"	0.10569099575539
"442"	"YDL036C"	-0.05066890142608
"443"	"YDL037C"	0.0905276753973008
"444"	"YDL038C"	0.0987003290618826
"445"	"YDL039C"	0.136356837802251
"446"	"YDL048C"	-0.331312644477463
"447"	"YDL050C"	-0.0180325890645138
"448"	"YDL051W"	0.0832380142509265
"449"	"YDL052C"	-0.0589251079405222
"450"	"YDL054C"	-0.15272185151727
"451"	"YDL056W"	-0.0365708942243536
"452"	"YDL059C"	0.0814480666375891
"453"	"YDL063C"	0.00776536726543145
"454"	"YDL066W"	-0.117003380086757
"455"	"YDL070W"	-0.123123203291212
"456"	"YDL071C"	0.208405874651608
"457"	"YDL074C"	0.101300351728906
"458"	"YDL076C"	-0.115503138327963
"459"	"YDL077C"	-0.273002135804993
"460"	"YDL078C"	0.157212950442518
"461"	"YDL079C"	-0.0352320223610802
"462"	"YDL080C"	-0.038700871509256
"463"	"YDL081C"	0.0279218857770675
"464"	"YDL082W"	-0.0821561479770515
"465"	"YDL083C"	-0.0470325223837439
"466"	"YDL085W"	0.0933819089887205
"467"	"YDL086W"	0.00786563503925826
"468"	"YDL088C"	-0.0477490887174965
"469"	"YDL089W"	-0.0862218698621358
