"gene"	"BenzoicAcid"
"302"	"YBR281C"	-0.196646930653095
"303"	"YBR283C"	-0.0466806865812602
"304"	"YBR284W"	-0.153632026812961
"305"	"YBR285W"	-0.133010874499421
"306"	"YBR286W"	0.0511578665657878
"307"	"YBR287W"	-0.163569650300485
"308"	"YBR289W"	-0.510050905494222
"309"	"YBR290W"	-0.104471042255675
"310"	"YBR291C"	-0.159784222647631
"311"	"YBR292C"	-0.146093537849116
"312"	"YBR293W"	0.0385575813571308
"313"	"YBR294W"	-0.134841092331692
"314"	"YBR295W"	-0.185888777605191
"315"	"YBR296C"	-0.317398294088701
"316"	"YBR297W"	-0.0484119247257704
"317"	"YBR298C"	-0.200484251291745
"318"	"YBR301W"	-0.130711809531084
"319"	"YCL001W-A"	0.615910065317873
"320"	"YCL001W"	-0.0214191787027301
"321"	"YCL006C"	0.132444510109634
"322"	"YCL010C"	-0.326420834202247
"323"	"YCL011C"	0.153843311572069
"324"	"YCL012W"	-0.044725850628805
"325"	"YCL013W"	-0.0224573468111333
"326"	"YCL014W"	0.163051246148186
"327"	"YCL022C"	0.117758393268547
"328"	"YCL023C"	-0.253290207147325
"329"	"YCL024W"	0.219923379058393
"330"	"YCL025C"	0.0799443915853125
"331"	"YCL026C-A"	-0.0356221966983199
"332"	"YCL026C"	0.0362653792474958
"333"	"YCL027W"	0.598769220391061
"334"	"YCL028W"	0.0629635583447803
"335"	"YCL029C"	0.150241125448671
"336"	"YCL034W"	0.0735379016919994
"337"	"YCL035C"	0.111491086960113
"338"	"YCL038C"	-0.0912572881214407
"339"	"YCL039W"	0.172348027899481
"340"	"YCL042W"	0.701646411588522
"341"	"YCL046W"	-0.160686251134984
"342"	"YCL048W"	0.0730080490007406
"343"	"YCL049C"	-0.202483192567357
"344"	"YCL050C"	-0.0972714517844735
"345"	"YCL051W"	-0.0526073307409224
"346"	"YCL055W"	0.0159837653028557
"347"	"YCL057W"	0.106997786757115
"348"	"YCL061C"	0.282271228613736
"349"	"YCL062W"	0.0458807571871502
"350"	"YCL063W"	0.0220075093406998
"351"	"YCL064C"	0.0390977225072652
"352"	"YCL069W"	-0.128460318187373
"353"	"YCL074W"	0.116560374177097
"354"	"YCL075W"	-0.0244696145712552
"355"	"YCL076W"	-0.0426254622224589
"356"	"YCR001W"	0.0823534938328207
"357"	"YCR005C"	0.00772349793741023
"358"	"YCR006C"	0.247328433116963
"359"	"YCR007C"	-0.0191546665698353
"360"	"YCR008W"	0.0822397332585966
"361"	"YCR009C"	0.255217014544003
"362"	"YCR010C"	-0.209247562779153
"363"	"YCR011C"	0.0104149274889684
"364"	"YCR014C"	-0.0452657700023884
"365"	"YCR015C"	-0.295438061584234
"366"	"YCR016W"	0.222485255633547
"367"	"YCR017C"	-0.273117136852613
"368"	"YCR019W"	-0.0777224088223917
"369"	"YCR020C-A"	0.635732118009455
"370"	"YCR020C"	-0.103521884301244
"371"	"YCR021C"	0.0192630690174317
"372"	"YCR022C"	0.237150039121188
"373"	"YCR023C"	0.0366614998432335
"374"	"YCR024C-A"	0.0656492821345074
"375"	"YCR025C"	0.416659784260806
"376"	"YCR027C"	-0.019728001543283
"377"	"YCR028C-A"	-0.0298895547886509
"378"	"YCR030C"	0.0398615107890009
"379"	"YCR031C"	-0.0585413896438213
"380"	"YCR032W"	0.138900026417597
"381"	"YCR033W"	-0.281366436532903
"382"	"YCR034W"	0.12324630813796
"383"	"YCR036W"	-0.0866717497075643
"384"	"YCR037C"	0.177275962175904
"385"	"YCR043C"	-0.0540797930082876
"386"	"YCR044C"	-0.292097072534039
"387"	"YCR045C"	0.0493391890472221
"388"	"YCR048W"	-0.0287629791311941
"389"	"YCR049C"	-0.0687046137857118
"390"	"YCR050C"	0.13864202700016
"391"	"YCR051W"	-0.135678445876652
"392"	"YCR053W"	-0.122744537644938
"393"	"YCR059C"	-0.13687910400894
"394"	"YCR060W"	0.202194474736417
"395"	"YCR061W"	-0.150815009562285
"396"	"YCR062W"	-0.285086881910412
"397"	"YCR065W"	0.157945219978342
"398"	"YCR068W"	-0.15761570967738
"399"	"YCR069W"	-0.0888769847952781
"400"	"YCR071C"	0.00612061674111189
"401"	"YCR073C"	0.0665383119879432
"402"	"YCR073W-A"	0.1603090655106
"403"	"YCR075C"	-0.0173175039551554
"404"	"YCR076C"	0.151520770958575
"405"	"YCR077C"	0.228338850449564
"406"	"YCR079W"	0.322730006419896
"407"	"YCR081W"	-0.418055246255492
"408"	"YCR082W"	-0.0224846615199732
"409"	"YCR085W"	-0.0777076077227978
"410"	"YCR086W"	0.393640806698502
"411"	"YCR087C-A"	-0.18843154827932
"412"	"YCR087W"	-0.0278657650680053
"413"	"YCR088W"	-0.300010648437927
"414"	"YCR090C"	-0.0099298410597167
"415"	"YCR092C"	-0.108009958791615
"416"	"YCR095C"	-0.127354823203652
"417"	"YCR098C"	-0.0347885195048835
"418"	"YCR099C"	0.113933883667126
"419"	"YCR100C"	-0.0608705399192608
