"gene"	"CaffeicAcid"
"296"	"YBR271W"	-0.256934697873574
"297"	"YBR274W"	-0.681302543647333
"298"	"YBR275C"	-0.011833187178278
"299"	"YBR276C"	-0.400780460430453
"300"	"YBR277C"	-0.269260124021862
"301"	"YBR278W"	-0.122550555086973
"302"	"YBR280C"	0.149084765782464
"303"	"YBR281C"	-0.0456802662390893
"304"	"YBR283C"	-0.428394018738816
"305"	"YBR284W"	-0.168473552292888
"306"	"YBR285W"	-0.189855103682946
"307"	"YBR286W"	-0.305187201851724
"308"	"YBR287W"	-0.0154006288765272
"309"	"YBR289W"	-0.453641085109701
"310"	"YBR290W"	0.0790229120718299
"311"	"YBR291C"	-0.0438613288021712
"312"	"YBR292C"	-0.107150724553035
"313"	"YBR293W"	-0.381007590594595
"314"	"YBR294W"	0.219169392413283
"315"	"YBR295W"	-0.194489530350623
"316"	"YBR296C"	-0.0725051868027312
"317"	"YBR297W"	-0.619904674953846
"318"	"YBR298C"	-0.249308477672193
"319"	"YBR301W"	0.00649274456863046
"320"	"YCL001W-A"	-1.2346185374652
"321"	"YCL001W"	-0.0478754175658778
"322"	"YCL006C"	-0.00675629900478835
"323"	"YCL010C"	-0.368821259141605
"324"	"YCL011C"	-0.117560820090145
"325"	"YCL012W"	-0.269323168408427
"326"	"YCL013W"	-0.147102347299584
"327"	"YCL014W"	-0.121330826639289
"328"	"YCL016C"	-1.95556496926361
"329"	"YCL022C"	0.0872752234161698
"330"	"YCL023C"	-0.279402275666374
"331"	"YCL024W"	-0.292368113247368
"332"	"YCL025C"	-0.167400831360514
"333"	"YCL026C-A"	-0.245363694124857
"334"	"YCL026C"	-0.239863772787109
"335"	"YCL027W"	-0.398853368054292
"336"	"YCL028W"	-0.0460999244069907
"337"	"YCL029C"	-0.508383456162895
"338"	"YCL034W"	-2.43347737393862
"339"	"YCL035C"	-0.0373283450789517
"340"	"YCL038C"	-0.21892155057653
"341"	"YCL039W"	-0.399790484560339
"342"	"YCL042W"	-2.04416301718601
"343"	"YCL046W"	-0.0991562029823122
"344"	"YCL048W"	-0.247621239443666
"345"	"YCL049C"	-0.227769973437095
"346"	"YCL050C"	-0.365879553551959
"347"	"YCL051W"	-0.0107370952296821
"348"	"YCL055W"	-0.20112441129803
"349"	"YCL057W"	-0.163054962342303
"350"	"YCL061C"	-0.2100629099155
"351"	"YCL062W"	-0.00895942099175328
