"gene"	"GVL"
"215"	"YBR128C"	0.863199356303916
"216"	"YBR129C"	-0.120637777707949
"217"	"YBR130C"	-0.365326115461656
"218"	"YBR132C"	0.271657045740198
"219"	"YBR134W"	-2.08528327075169
"220"	"YBR137W"	0.0202131463559541
"221"	"YBR138C"	-0.274200558604623
"222"	"YBR141C"	1.06176317847706
"223"	"YBR144C"	2.88918557375545
"224"	"YBR145W"	0.88945383654353
"225"	"YBR147W"	0.182248036259898
"226"	"YBR148W"	0.0294338455633357
"227"	"YBR150C"	-3.05687383287676
"228"	"YBR151W"	-0.143395112783532
"229"	"YBR156C"	0.815080453483312
"230"	"YBR157C"	-0.0261640481534833
"231"	"YBR161W"	-0.303395679908768
"232"	"YBR162C"	0.368341173192514
"233"	"YBR162W-A"	-0.594583681704088
"234"	"YBR164C"	-1.42352355209348
"235"	"YBR165W"	0.322848890523151
"236"	"YBR166C"	-5.11248145865373
"237"	"YBR168W"	-0.938932159095436
"238"	"YBR171W"	2.31113586156571
"239"	"YBR172C"	0.133643207398352
"240"	"YBR174C"	-0.731486160424436
"241"	"YBR175W"	-0.91769900899881
"242"	"YBR176W"	0.164774991508403
"243"	"YBR177C"	-0.20541946319342
"244"	"YBR180W"	-0.0715276049036168
"245"	"YBR183W"	2.15852473376522
"246"	"YBR184W"	0.0550830224557103
"247"	"YBR185C"	0.0101026884168697
"248"	"YBR186W"	0.648747112773098
"249"	"YBR197C"	0.223230937165647
"250"	"YBR199W"	-0.273253548094703
"251"	"YBR200W"	-2.34457148744112
"252"	"YBR203W"	0.784341416006025
"253"	"YBR204C"	-0.439959874248829
"254"	"YBR205W"	-1.77743013001639
"255"	"YBR206W"	0.0297211630729296
"256"	"YBR207W"	0.215512468494276
"257"	"YBR208C"	0.521029614122081
"258"	"YBR209W"	-0.690741898093378
"259"	"YBR210W"	0.0716612332170003
"260"	"YBR212W"	-1.26208839933826
"261"	"YBR214W"	0.559861360603395
"262"	"YBR215W"	0.0310902678472256
"263"	"YBR216C"	0.375893650457017
"264"	"YBR217W"	0.40960752082011
"265"	"YBR218C"	1.00495544345963
"266"	"YBR219C"	-0.206068351193927
"267"	"YBR220C"	-0.107837562199736
"268"	"YBR221C"	-1.54409331379117
"269"	"YBR223C"	0.673923705221588
"270"	"YBR224W"	-0.0276681254042927
"271"	"YBR225W"	0.276874248273341
"272"	"YBR226C"	0.17533226345289
"273"	"YBR229C"	-1.52808836721569
"274"	"YBR231C"	-0.341179487720903
"275"	"YBR232C"	0.0874201523564048
"276"	"YBR233W"	1.49342960793709
"277"	"YBR235W"	0.0415914116631761
"278"	"YBR239C"	0.727123198853438
"279"	"YBR240C"	-0.413917951782084
"280"	"YBR241C"	-0.00370725782379117
"281"	"YBR245C"	0.583921055358877
"282"	"YBR248C"	-0.409334647517268
"283"	"YBR250W"	0.243420065046842
"284"	"YBR255W"	1.02298212707704
"285"	"YBR258C"	-0.0171576517699527
"286"	"YBR259W"	0.602798653887984
"287"	"YBR260C"	0.167247979710367
"288"	"YBR261C"	0.0706741005244093
"289"	"YBR262C"	0.347416038371856
"290"	"YBR263W"	-0.152226094108321
"291"	"YBR264C"	0.197449373109918
"292"	"YBR266C"	0.522009746156881
"293"	"YBR267W"	-0.957207138240058
"294"	"YBR269C"	0.0654648030188093
"295"	"YBR270C"	0.1568543074818
"296"	"YBR271W"	0.870167304063108
"297"	"YBR274W"	0.346808917110434
"298"	"YBR275C"	0.939731120363159
"299"	"YBR276C"	0.093096232866225
"300"	"YBR277C"	0.0916519326929653
"301"	"YBR278W"	-0.196992762462991
"302"	"YBR280C"	0.567011200002538
"303"	"YBR281C"	-0.0260798697124193
"304"	"YBR283C"	-0.306283051511697
"305"	"YBR284W"	-0.0873087264151194
"306"	"YBR285W"	0.219866680634329
"307"	"YBR286W"	-0.181769568267626
"308"	"YBR287W"	0.560730017218621
"309"	"YBR289W"	-1.97381871640852
"310"	"YBR290W"	0.139223277157462
"311"	"YBR291C"	0.756425134701428
"312"	"YBR292C"	0.0373283002877492
"313"	"YBR293W"	0.103105893659306
"314"	"YBR294W"	-0.0436387981954665
"315"	"YBR295W"	-0.122859246216732
"316"	"YBR296C"	0.0157241830680673
"317"	"YBR297W"	0.111315089217449
"318"	"YBR298C"	-0.0195322695797884
"319"	"YBR301W"	0.0627577624706143
"320"	"YCL001W-A"	-0.167257114176639
"321"	"YCL001W"	-0.606478511730878
