"gene"	"HMF5"
"438"	"YDL025C"	-0.236527533079351
"439"	"YDL026W"	-0.125635078002855
"440"	"YDL035C"	0.488031631625089
"441"	"YDL036C"	-0.0266258567569588
"442"	"YDL037C"	0.0613419495960471
"443"	"YDL038C"	0.0669874276730471
"444"	"YDL039C"	-0.406919331090189
"445"	"YDL048C"	-0.0686961193378986
"446"	"YDL050C"	-0.0918466090200776
"447"	"YDL051W"	-0.293175725004599
"448"	"YDL052C"	0.207579630466126
"449"	"YDL054C"	-0.0298302799196997
"450"	"YDL056W"	0.0487465006607457
"451"	"YDL059C"	-0.12062167249962
"452"	"YDL063C"	-0.327045967035181
"453"	"YDL066W"	0.137170548223736
"454"	"YDL070W"	0.345675955971902
"455"	"YDL071C"	0.036727965677895
"456"	"YDL074C"	0.434674606442313
"457"	"YDL076C"	0.173057142936725
"458"	"YDL077C"	0.175032779441289
"459"	"YDL078C"	0.102152496862804
"460"	"YDL079C"	-0.105852846761736
"461"	"YDL080C"	0.418456018214
"462"	"YDL081C"	-1.01666866476227
"463"	"YDL082W"	0.160931100598596
"464"	"YDL083C"	0.192174795275209
"465"	"YDL085W"	-0.110723809821222
"466"	"YDL086W"	0.177788421247328
"467"	"YDL088C"	0.242046319070694
"468"	"YDL089W"	0.231709277884388
"469"	"YDL091C"	-0.270007291644578
"470"	"YDL093W"	0.0200151335495161
"471"	"YDL094C"	0.379751515050963
"472"	"YDL096C"	-0.855184980232295
"473"	"YDL100C"	2.04773797915169
"474"	"YDL106C"	0.0203531355845518
"475"	"YDL109C"	-0.461753077293638
"476"	"YDL110C"	0.0422895811534503
"477"	"YDL112W"	0.100073902926483
"478"	"YDL114W"	-0.238321835724063
"479"	"YDL117W"	-1.1144283520868
"480"	"YDL119C"	-0.468565853140294
"481"	"YDL121C"	0.0207532501607999
"482"	"YDL122W"	0.376631577283902
"483"	"YDL123W"	-0.0819220114632563
"484"	"YDL127W"	0.538512650643909
"485"	"YDL128W"	1.3859883494766
"486"	"YDL130W-A"	-0.135055334497603
"487"	"YDL130W"	-0.37908754751054
"488"	"YDL133C-A"	0.0895171271672685
"489"	"YDL134C"	0.121990087683389
"490"	"YDL136W"	0.0923561506577751
"491"	"YDL137W"	0.925063969646923
"492"	"YDL142C"	-0.689003386678828
"493"	"YDL144C"	0.222827794969428
"494"	"YDL149W"	0.09437689867271
"495"	"YDL154W"	-0.0625921106703006
"496"	"YDL155W"	-0.489790562872487
"497"	"YDL156W"	-0.0544282809335119
"498"	"YDL161W"	-0.429028672885911
"499"	"YDL162C"	0.234742205504472
"500"	"YDL168W"	-0.133340554202766
"501"	"YDL169C"	0.0117970726464031
"502"	"YDL170W"	0.174741312392246
"503"	"YDL171C"	0.122645387700721
"504"	"YDL172C"	0.0966336319498547
"505"	"YDL173W"	0.16220193209992
"506"	"YDL174C"	-0.0103669317098865
"507"	"YDL177C"	-0.185969162399032
"508"	"YDL178W"	-0.175205644571818
"509"	"YDL180W"	0.0134673461631414
"510"	"YDL182W"	0.166222035751616
"511"	"YDL184C"	0.11853338999202
"512"	"YDL186W"	0.327122094203193
"513"	"YDL187C"	0.0406841985210637
"514"	"YDL188C"	0.170462761560104
"515"	"YDL189W"	0.0914712697958032
"516"	"YDL190C"	0.794185778856659
"517"	"YDL191W"	-0.350372826063592
"518"	"YDL194W"	1.8931952947847
"519"	"YDL197C"	3.35581086782278
"520"	"YDL199C"	-0.106775084583486
"521"	"YDL200C"	-0.131823302141095
"522"	"YDL201W"	-0.264997806879025
"523"	"YDL203C"	0.0276040215835518
"524"	"YDL204W"	0.107696218466306
"525"	"YDL210W"	0.2063956374762
"526"	"YDL211C"	-0.145535730826835
"527"	"YDL215C"	-0.0203311057098581
"528"	"YDL218W"	-0.393791901685376
"529"	"YDL219W"	0.0515697324685419
"530"	"YDL223C"	-0.153299317629903
"531"	"YDL224C"	0.126163108745683
"532"	"YDL226C"	0.290609565267511
"533"	"YDL227C"	-0.0185445066688122
"534"	"YDL229W"	-0.0669116179034848
"535"	"YDL230W"	-0.00336485280735402
"536"	"YDL231C"	0.0710033198489708
"537"	"YDL233W"	-0.207682591428175
"538"	"YDL236W"	-0.0910864468939007
"539"	"YDL237W"	0.0366386831326095
"540"	"YDL239C"	0.0426883236879049
"541"	"YDL240W"	-0.539771525059857
"542"	"YDL241W"	-0.326671423789395
"543"	"YDL242W"	0.214171431475855
"544"	"YDL243C"	0.0389829928815202
"545"	"YDR001C"	-0.0164063884425196
"546"	"YDR004W"	-0.0598459097389696
"547"	"YDR005C"	-0.889108758287498
"548"	"YDR006C"	0.147892631441261
"549"	"YDR007W"	-0.201792332432014
"550"	"YDR009W"	-0.125283761029773
"551"	"YDR010C"	0.233654642525408
"552"	"YDR011W"	0.0361455903053439
"553"	"YDR014W"	-0.124506370528333
"554"	"YDR015C"	-0.169509485260142
"555"	"YDR018C"	0.00780518308205301
"556"	"YDR019C"	0.0468419119523871
"557"	"YDR020C"	-0.225928264971116
"558"	"YDR022C"	-0.182509306047187
"559"	"YDR024W"	-0.485220818292518
"560"	"YDR025W"	-0.273829511191287
"561"	"YDR026C"	0.0436123876761032
"562"	"YDR030C"	0.21665301559627
"563"	"YDR033W"	0.0339357373814891
"564"	"YDR035W"	-0.012056201297673
"565"	"YDR036C"	0.151567720397732
"566"	"YDR046C"	0.118567432242022
"567"	"YDR048C"	-0.320503676466218
"568"	"YDR049W"	-0.757484685036191
"569"	"YDR051C"	-0.156903782973106
"570"	"YDR055W"	0.300835058861491
"571"	"YDR057W"	-0.346004733990961
"572"	"YDR058C"	-0.0341798624498165
"573"	"YDR061W"	0.014652168663964
"574"	"YDR063W"	0.480478703078737
"575"	"YDR066C"	-0.193442947398019
"576"	"YDR067C"	-0.203997175999814
"577"	"YDR068W"	-0.111222780878458
"578"	"YDR070C"	0.458009393911471
"579"	"YDR071C"	0.462297593501217
"580"	"YDR072C"	-0.0146519730606684
"581"	"YDR073W"	-0.0444640339416966
"582"	"YDR074W"	0.673172901077974
"583"	"YDR076W"	0.229008280575209
"584"	"YDR080W"	-2.14066010660876
"585"	"YDR083W"	0.217062564996207
"586"	"YDR085C"	-0.170655973815546
"587"	"YDR089W"	0.0466746803657749
"588"	"YDR090C"	0.3468984913273
"589"	"YDR092W"	1.61987633976069
"590"	"YDR093W"	9.45452419067214e-05
"591"	"YDR094W"	0.914169166640481
"592"	"YDR095C"	0.0088880245020051
"593"	"YDR097C"	0.125058985015466
"594"	"YDR098C"	0.0492828365393341
"595"	"YDR099W"	0.0788752255135449
"596"	"YDR100W"	-0.0896237107166857
"597"	"YDR101C"	0.24765578695706
"598"	"YDR102C"	0.000431381615520793
"599"	"YDR104C"	-0.124722692506286
"600"	"YDR108W"	0.832401882369695
"601"	"YDR109C"	-0.0156858126167222
"602"	"YDR110W"	-0.022085223877993
"603"	"YDR111C"	-0.371032878960993
"604"	"YDR112W"	-0.0851597754177007
"605"	"YDR116C"	0.086751157081847
"606"	"YDR117C"	-2.43972024539304
"607"	"YDR119W"	-0.069431229704492
"608"	"YDR120C"	0.955581518670079
"609"	"YDR121W"	0.362293473434471
"610"	"YDR122W"	-0.230089719582769
"611"	"YDR123C"	0.308527663871582
"612"	"YDR124W"	-0.276202096515859
"613"	"YDR125C"	1.80459606987518
"614"	"YDR126W"	0.382888782512383
"615"	"YDR127W"	0.467294800036937
"616"	"YDR128W"	0.137495721960911
"617"	"YDR130C"	-0.025932213100857
"618"	"YDR131C"	0.197434930476423
"619"	"YDR132C"	-0.217999579422834
"620"	"YDR133C"	-0.128280588081614
"621"	"YDR134C"	0.110785760349708
"622"	"YDR135C"	0.0379878624183656
"623"	"YDR139C"	0.692922911250952
"624"	"YDR142C"	-0.0805172590246691
"625"	"YDR143C"	-0.322577354120397
"626"	"YDR144C"	-0.167251729500791
"627"	"YDR146C"	0.82972934435573
"628"	"YDR147W"	-0.125756136938091
"629"	"YDR148C"	-0.0462198901586705
"630"	"YDR149C"	0.277954935014804
"631"	"YDR150W"	0.001784802490603
"632"	"YDR153C"	0.0596844873989135
"633"	"YDR154C"	-0.162211960617922
"634"	"YDR155C"	0.181436043169373
"635"	"YDR156W"	0.337258344909276
"636"	"YDR157W"	0.357003804908859
"637"	"YDR158W"	-0.154452239161392
"638"	"YDR159W"	1.35426797711791
"639"	"YDR161W"	-0.357230359526297
"640"	"YDR162C"	0.268479333805658
"641"	"YDR163W"	-0.40146900336699
"642"	"YDR165W"	0.167299838539024
"643"	"YDR169C"	0.225582082469716
"644"	"YDR171W"	-0.0635813253047808
"645"	"YDR174W"	0.225326852714412
"646"	"YDR181C"	-0.0922258579940734
"647"	"YDR184C"	0.16090875637986
"648"	"YDR185C"	-0.131086909741324
"649"	"YDR186C"	0.133442336268275
"650"	"YDR191W"	0.342921809687249
"651"	"YDR192C"	0.0676568095769546
"652"	"YDR193W"	1.74592395977383
"653"	"YDR198C"	-0.217375273729411
