"gene"	"Isobutanol"
"354"	"YCL069W"	-0.542180029705939
"355"	"YCL074W"	-0.335968566690861
"356"	"YCL075W"	-0.231750075160119
"357"	"YCL076W"	0.121474574632635
"358"	"YCR001W"	-0.492290249614969
"359"	"YCR005C"	-0.0708203448890061
"360"	"YCR006C"	-0.38772590957596
"361"	"YCR007C"	-0.137529110642596
"362"	"YCR008W"	-0.289274059582991
"363"	"YCR009C"	-0.527452545844007
"364"	"YCR010C"	-0.0475942052346027
"365"	"YCR011C"	-0.232871160535221
"366"	"YCR014C"	-0.0571073041100651
"367"	"YCR015C"	-0.119468415574945
"368"	"YCR016W"	-0.134038399068267
"369"	"YCR017C"	-0.0838538357536815
"370"	"YCR019W"	-0.190235830961746
"371"	"YCR020C-A"	-0.475764648402432
"372"	"YCR020C"	-0.11137061576076
"373"	"YCR021C"	-0.16403988037502
"374"	"YCR022C"	0.144609735447555
"375"	"YCR023C"	-0.256913740664049
"376"	"YCR024C-A"	0.0888649491174489
"377"	"YCR025C"	-0.890986250490589
"378"	"YCR027C"	-0.280233081515287
"379"	"YCR028C-A"	0.471172433649128
"380"	"YCR030C"	-0.404761421858531
"381"	"YCR031C"	-0.426518664661613
"382"	"YCR032W"	-0.0928842303968591
"383"	"YCR033W"	-0.571094938625736
"384"	"YCR034W"	-0.565399447105073
"385"	"YCR036W"	0.0630691838475972
"386"	"YCR037C"	-0.0339546062478203
"387"	"YCR043C"	-0.0177553052771316
"388"	"YCR044C"	-0.162793029777183
"389"	"YCR045C"	0.0104707493414025
"390"	"YCR048W"	-0.118898527711753
"391"	"YCR049C"	0.0778009755128026
"392"	"YCR050C"	-0.16058864353514
"393"	"YCR051W"	0.0515601221036591
"394"	"YCR053W"	-0.783413765624991
"395"	"YCR059C"	-0.691301460290199
"396"	"YCR060W"	-1.89684708999552
"397"	"YCR061W"	0.0373519196523509
"398"	"YCR062W"	-1.46254656322563
"399"	"YCR065W"	-0.640913908079649
"400"	"YCR068W"	0.0755313205340561
"401"	"YCR069W"	0.00392009603906996
"402"	"YCR071C"	0.186333324929894
"403"	"YCR073C"	-0.0610680216232605
"404"	"YCR073W-A"	-0.815432548131999
"405"	"YCR075C"	0.074462453242866
"406"	"YCR076C"	-2.0192964034463
"407"	"YCR077C"	-0.256437104922066
"408"	"YCR079W"	-1.0546756408674
"409"	"YCR081W"	-0.19678997983042
"410"	"YCR082W"	-1.02589020755607
"411"	"YCR085W"	-0.0910065121162431
"412"	"YCR086W"	0.427687099259139
"413"	"YCR087C-A"	-0.587596780387236
"414"	"YCR087W"	0.0201495167684802
"415"	"YCR088W"	-2.19066568869538
"416"	"YCR090C"	-0.27561675872667
"417"	"YCR092C"	-0.264916003973358
"418"	"YCR095C"	-0.268360030177175
"419"	"YCR098C"	0.0372426766114153
"420"	"YCR099C"	-0.301537437228928
"421"	"YCR100C"	0.103284217078429
"422"	"YCR101C"	-0.101263599194157
"423"	"YCR102C"	0.0907224313755411
"424"	"YCR102W-A"	-0.119406243989173
"425"	"YCR105W"	-0.0515063854813958
"426"	"YCR106W"	-0.239971052694427
"427"	"YCR107W"	-0.040927872290318
"428"	"YDL001W"	0.307400782526271
"429"	"YDL002C"	0.0180586805136598
"430"	"YDL006W"	-0.206258542922196
"431"	"YDL010W"	0.291088615353549
"432"	"YDL011C"	-0.398206365354239
"433"	"YDL012C"	0.115210355030801
"434"	"YDL013W"	-0.47974907726002
"435"	"YDL018C"	-0.262589324495673
