gene	22Dipyridyl	24Dimethylimidazole	26Dimethylpyrazine	2Methylimidazole	45Methylimidazole	4OHAcetophenone	4OHBenzaldehyde	4OHBenzoicAcid	5HMF	Acetamide	AcetoSyringone	Acetovanillone	AzelaicAcid	BMIMCl	Benomyl	BenzoicAcid	CV	CaffeicAcid	CinnamicAcid	CoumaricAcid	CoumaroylAmide	DMSO	EMIMCl	EtOH	FerulicAcid	FeruloylAmide	Furfural	GVL	Isobutanol	LevulinicAcid	MBO	Methylglyoxal	Mycobutanil	NAO	SinapicAcid	SodiumGlyoxylate	Syringaldehyde	SyringicAcid	VanillicAcid	Vanillin	SodiumAcetate	SodiumButyrate
11	YAL017W	0.390668876260309	-0.0230375072457828	-0.166520251460445	0.0271702956313971	-0.0409650362948931	0.0270712932017609	-0.178158440061518	0.0263925983731256	-0.321016190750018	-0.216244488791048	0.17430343824204	-0.121116280977813	-0.21257181815889	0.0353326716794346	0.1344965636553	-0.0386984868093892	-0.648696580548236	-0.117453582958184	-0.10661583358947	0.12946274516538	-0.000933118355990233	0.0467924786419813	-0.234656501064943	0.671447858718706	0.114006816292158	-0.104778335271296	0.133195141654982	0.208389550971067	-0.133648033592597	-0.28127796691956	0.0166652556177786	0.0223927054362737	0.315795254166807	-0.189843885095764	-0.0533777323284889	0.0209049503157543	0.133761063785796	0.253565938294864	0.0625860591785102	-0.253784390084039	-0.478673782883727	-0.0143808586258725
12	YAL018C	0.0847960166663098	-0.0079832379585472	0.0418220248353207	0.0882760465979726	0.0261593842862434	-0.0686873226249985	-0.242009087816998	0.0273968548924839	-0.164879008482827	-0.089035820427888	-0.536605484880455	-0.345073372671326	-0.0460620301039647	-0.00567370890556223	-0.0699924250750476	0.0922966762464926	-0.084040771048582	-0.094324696099089	0.350909474061076	-0.114256077097918	0.0308075327176497	-0.221409226207843	-0.451033479958203	0.476047893014876	-0.21997734901361	-0.10863786621283	0.0870103169828755	-0.173176437666272	-0.384275249337507	-0.0679500356753366	-0.385190468997599	0.00324949510302548	-0.00179636242373852	-0.206487824426391	-0.404540502241652	-0.0528654861309844	0.252486114213717	0.385311345688915	0.178271223031815	0.0834442987001961	-0.15627741152798	-0.0493248652070992
13	YAL019W	0.320528299985991	0.0124890086721636	-0.459133264445232	-0.0166123853279635	0.00102129351715799	-0.290001168857848	-0.266113390711065	0.191585114569885	-0.804796583156506	0.0642798424787611	-0.648794816311719	-0.422881329528548	0.00478096491565159	0.376915662185079	0.413028719031871	-0.0102073330249672	-0.282232880687596	-0.151065616591016	-0.0665375729244701	-0.470716015415433	-0.392375084939308	0.145330190029926	0.298998243543412	-0.070227844057912	-0.951221394256076	-0.274656930628337	-0.476684396987951	-0.605261739551501	-0.190073917646289	-0.0541482004577409	-0.258064548843539	0.193311016696742	0.381341350917343	0.0408359400051135	-0.52383903114404	0.239526162637041	-0.0918232466581041	0.179881822672003	-0.127194527494496	-0.405829070214411	-0.131386516676663	0.300889491173496
14	YAL020C	0.253191455907659	0.158685715222379	0.375791443191428	-0.0202308462466614	-0.128303979822855	-0.0131747725299372	-0.00156075774330363	0.00578714719454347	-0.0680315108169293	0.13794403850727	-0.650313349756272	-0.629766030297026	0.167723714560622	0.158264578359305	0.235831417071733	0.204286750931728	-0.302993812078897	0.0920874748148345	0.373279720572916	-0.081799575415987	0.0874117713348868	-0.156415581824108	-0.499986275856767	0.998292646951785	-0.475554959633453	-0.135235009262877	0.452035868505337	0.0673420743310888	-0.16586372761972	-0.0261784595665235	-0.128538057047819	0.122467366301736	0.381443432522817	-0.0911664214222974	-0.476510280131522	0.186901633047753	0.519186814641107	0.542686646000819	0.0808930730440826	-0.0526124682603176	-0.042750423565078	0.194083604050202
15	YAL022C	0.239573515511975	-0.043046780591895	-0.108099107301351	0.0533381460851522	0.0280517335772313	-0.0439190542825185	-0.0696802557716971	-0.08623643532243	0.0700624176236309	-0.156219289989631	0.204900365608271	-0.00135410837561796	-0.0352280636203654	-0.117643253946734	-0.0641737726494722	-0.230829826927975	-1.24267710364665	-0.189971073114624	-0.18869699397817	-0.0780192246752847	0.134692962949551	0.0465476341303135	-0.326274422734634	0.592024026183403	0.0303653463211699	-0.152587229668697	0.0832477079977875	-0.15640944278017	-0.108638280065014	-0.0360093914879644	-0.184236693108768	0.128600066280468	0.238120791013033	-0.382308404235711	-0.117117705319495	0.215589942345079	-0.130841495243438	-0.272536546593305	-0.0828536411839992	-0.114183722105301	-0.10631224283021	0.0866517876419265
16	YAL023C	0.383374009724541	0.0823599955030409	0.12742945726503	-0.0485980169127843	0.171630711629	0.332763797289451	-0.133279007685292	0.0121814049742112	0.298453640688402	1.0158247918009	0.611955274384083	0.226416640791014	-1.49541881973339	1.21547637439687	-0.166055875411088	-0.462555282411719	1.07670490302639	-1.11155129298328	-0.620847011430292	-0.971188209408937	-0.609958292384103	0.641282007021228	0.758223731510089	-0.126251143557282	-0.794852241891729	0.113696215837731	-0.208104826883462	-1.01679401818241	-0.173231444278561	-0.701977211713602	-0.625787696579086	0.304431854401693	-0.652738267833772	0.964947316163999	-0.903735752077333	-0.311886940358715	-0.463388397610526	-1.5989512968159	-1.22926540416511	-0.396615543144121	-0.00275578177184487	-0.0437083595979982
17	YAL024C	-0.0332084335837511	-0.0875364923012123	0.206135546512338	0.108567949088689	0.091064441967285	-1.10623546206533	-0.732995969820022	0.0532577820969698	-0.282397473768739	-0.17599754510285	-2.64413130702661	-1.28560798873186	-0.364847379099621	-0.0931090409756325	-0.138262742212556	0.233105045436573	-0.284325926454407	-0.235784381844074	0.461416356884335	-0.481671493947618	-1.07515618428546	-0.72189734117818	0.193891288974647	0.0203244778168018	-0.486216659654482	-2.60653259749307	-0.0475468343853615	-6.07030842013724	-1.15016399978678	0.0222479997574508	-1.87881517018678	0.00582191139621319	-0.171060323054009	0.356056740388275	-0.0887646586789631	-0.0458403415280342	0.338640138982476	0.118543941994974	-0.312349716139081	-0.104611872896266	-0.346822491448085	-0.0120401570938781
18	YAL026C	0.152802866321184	0.112797041256467	-0.06463371649892	0.0414055146003917	0.300625485204886	0.373276809434272	-2.76045807067302	-0.17756867715666	-0.118927510526068	0.0940633896966237	0.369142957606551	0.260203036695642	-0.787867292372975	0.569821448779979	-0.172444911848743	-0.182017557550101	0.448654611025559	-0.772435873167816	-0.360510477824182	-1.62355594437323	-8.62864588323166	0.132671888855077	0.309806932475583	0.501702277738562	-2.50527227368033	-3.71725463424877	0.398151738671475	-0.495408503441808	-0.407950341558852	-0.336944576817771	-2.16903657691818	-0.775014651399951	-0.519808108002678	1.30337369067612	-1.29899035305783	0.0769431128469537	0.235977258336213	-0.00530409492164995	-3.66986908885393	-0.745572314079915	-1.42377949533328	0.340360000114335
19	YAL027W	0.155223802256789	-0.061305648181562	0.0148365860959024	-0.187133518554221	0.00991079029832589	-0.125355132512212	-0.151476713668837	0.0433017964708352	-0.0997675115797587	-0.327932981035863	-0.321855029821951	-0.430379172342806	-0.279036458655363	0.138045648831459	-0.0682181818855287	-0.139660930619293	-1.11892135416934	-0.111548857421927	-0.307710191453866	0.419726277290794	0.110657584843847	-0.0455155825410226	-0.507907278210549	0.543152710576278	0.279528948996983	-0.00474830497760206	0.10948117819717	-0.0402250301541196	-0.278719208743859	-0.288399336227197	-0.288402523049736	-0.158470199740837	0.0622940925099375	-0.676079789224839	-0.160036573875026	0.0774069663272528	0.418517886987839	0.463273027583686	-0.140993542655162	0.0927873526805286	-0.529263329269207	-0.0281974013366819
20	YAL028W	0.233102547335332	-0.0452841627514341	0.211721242177361	0.00133558306739968	-0.0794633147180235	-0.180052914169031	-0.091394701810953	0.0450740505947892	-0.209499744711402	0.029182481505669	-0.461397727006252	-0.746546715308529	-0.261824177124389	-0.275452944559565	0.0265333943798242	0.186602708690616	-1.09737914087907	-0.069368004908307	0.204340704782449	-0.0815598410063879	0.282711526843132	0.00358605990647419	-0.656071644781143	0.679614870986205	0.0838625282943627	0.214740402393147	0.242800074275984	0.605934346540497	-0.0634954477976543	-0.155787549880942	-0.147309304797898	-0.286652273296239	-0.0348331628872068	-0.669334388871703	-0.186629003083867	0.0282454650264273	0.128368679054808	0.2294895015674	-0.0344283587095929	0.00071441944566359	-0.123995964277303	0.0315375940467054
