gene	26Dimethylpyrazine	MBO	Vanillin	BMIMCl	CoumaroylAmide	FerulicAcid	EMIMCl	SodiumAcetate	Furfural	Benomyl	CV	MMS-A	SinapicAcid	Mycobutanil	QUADRIS1	Acetamide	4OHBenzoicAcid	NAO	CinnamicAcid	GVL	AzelaicAcid	CoumaricAcid	24Dimethylimidazole	AcetoSyringone	Isobutanol	BenzoicAcid	VanillicAcid	CaffeicAcid	SyringicAcid	QUADRIS2	LevulinicAcid	SodiumButyrate	45Methylimidazole	Syringaldehyde	4OHAcetophenone	DMSO	2Methylimidazole	SodiumGlyoxylate	Acetovanillone	4OHBenzaldehyde	5HMF	EtOH	MMS-BC	FeruloylAmide	22Dipyridyl	Methylglyoxal
YAL019W	-0.45913326444562896	0.0	-0.40582907021454	0.0	-0.392375082198068	-0.9512213942562472	0.0	0.0	-0.47668439708324606	0.0	0.0	-0.688977073943803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.605261739552318	0.0	0.0	0.0	-0.6487948163241629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.422881329528448	0.0	-0.804796583437896	0.0	0.0	0.0	0.0	0.0
YAL020C	0.3757914431912821	0.0	0.0	0.0	0.0	-0.47555495963348204	-0.499986275856761	0.0	0.45203586861703904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37327972057304204	0.0	0.0	0.0	0.0	-0.650313349760154	0.0	0.0	0.0	0.0	0.542686646000809	0.0	0.0	0.0	0.0	0.519186814641103	0.0	0.0	0.0	0.0	-0.629766030297008	0.0	0.0	0.998292646951146	0.0	0.0	0.0	0.0
YAL022C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.24267710364847	-0.5278736693743831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5920240261855091	0.0	0.0	0.0	0.0
YAL023C	0.0	-0.625787696578897	0.0	1.2154763749163602	-0.6099582914415079	-0.7948522418916999	0.758223731510082	0.0	0.0	0.0	1.0767049030297802	-1.23820874403005	-0.9037357522832941	0.0	0.0	1.01582479180081	0.0	0.964947316163989	0.0	-1.01679401818107	-1.49541881938598	-0.9711882089125341	0.0	0.611955274384741	0.0	-0.462555282392559	-1.2292654041650501	-1.1115512929833502	-1.59895129681597	0.0	0.0	0.0	0.0	-0.46338839761052897	0.0	0.6412820070210611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL024C	0.0	-1.878815170187	0.0	0.0	-1.07515618224568	-0.486216659654496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4614163568846021	-6.070308420147031	-0.36484737921231003	0.0	0.0	-2.64413130702483	-1.15016399978726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.10623546206445	-0.7218973411777521	0.0	0.0	-1.2856079887318501	-0.7329959698130171	0.0	0.0	0.0	-2.60653259749068	0.0	0.0
YAL026C	0.0	-2.16903657691023	-0.7455723140810459	0.0	-8.628645882125861	-2.5052722736803	0.0	0.0	0.398151738825843	0.0	0.0	0.0	-1.2989903530898401	0.0	0.0	0.0	0.0	1.30337369067649	0.0	0.0	-0.78786729160396	-1.62355594624836	0.0	0.0	0.0	0.0	-3.66986908885633	-0.7724358731676809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.76045807062922	0.0	0.501702277738896	0.0	-3.71725463424969	0.0	-0.775014651412521
YAL027W	0.0	0.0	0.0	0.0	0.0	0.0	-0.507907278210609	0.0	0.0	0.0	-1.11892135416905	0.0	0.0	0.0	0.0	0.0	0.0	-0.676079789225497	0.0	0.0	0.0	0.0	0.0	-0.321855029822961	0.0	0.0	0.0	0.0	0.463273027583664	0.0	0.0	0.0	0.0	0.41851788698783793	0.0	0.0	0.0	0.0	-0.43037917234292405	0.0	0.0	0.543152710575064	0.0	0.0	0.0	0.0
YAL028W	0.0	0.0	0.0	0.0	0.0	0.0	-0.6560716447811159	0.0	0.0	0.0	-1.09737914088052	0.0	0.0	0.0	0.0	0.0	0.0	-0.669334388872659	0.0	0.605934346540671	0.0	0.0	0.0	-0.461397727006272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7465467153085451	0.0	0.0	0.679614870986721	0.0	0.0	0.0	0.0
YAL029C	-0.350505300804831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.660900893073432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.49565698266306296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL030W	-0.40088175399792403	0.0	0.0	0.0	-0.3879653769005661	0.0	0.0	0.0	0.0	0.0	-1.827045741738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
