"gene"	"EMIMCl"
"244"	"YBR180W"	0.0147455340576789
"245"	"YBR183W"	1.44388804360224
"246"	"YBR184W"	-0.219010678639742
"247"	"YBR185C"	0.288969740944425
"248"	"YBR186W"	0.0660310474419202
"249"	"YBR197C"	-0.324406576563165
"250"	"YBR199W"	0.415299438815834
"251"	"YBR200W"	1.23640399578659
"252"	"YBR203W"	-0.555064385719264
"253"	"YBR204C"	0.429789203927545
"254"	"YBR205W"	0.244897818625008
"255"	"YBR206W"	0.0034623986192489
"256"	"YBR207W"	0.173228333505241
"257"	"YBR208C"	-0.21624234756777
"258"	"YBR209W"	-0.490288446582987
"259"	"YBR210W"	-0.211242609641232
"260"	"YBR212W"	-1.38442753268288
"261"	"YBR214W"	-0.35437496542969
"262"	"YBR215W"	-0.723907635595854
"263"	"YBR216C"	-0.54950798208291
"264"	"YBR217W"	0.416837130218811
"265"	"YBR218C"	-0.570969388786464
"266"	"YBR219C"	0.0864538644811253
"267"	"YBR220C"	0.483471001930375
"268"	"YBR221C"	0.600875914382832
"269"	"YBR223C"	-0.31000132887319
"270"	"YBR224W"	0.128945192405664
"271"	"YBR225W"	-0.40125825309431
"272"	"YBR226C"	-0.734444769936244
"273"	"YBR229C"	0.274728024392289
"274"	"YBR231C"	0.0800635404959087
"275"	"YBR232C"	0.243364540353827
"276"	"YBR233W"	1.53959940291308
"277"	"YBR235W"	0.00849374481857671
"278"	"YBR239C"	0.248262093221553
"279"	"YBR240C"	-3.47594990671165
"280"	"YBR241C"	0.161640156219551
"281"	"YBR245C"	-0.0268464806055283
"282"	"YBR248C"	-2.25642589986357
"283"	"YBR250W"	0.567196564778602
"284"	"YBR255W"	-0.792588402743109
"285"	"YBR258C"	0.494729747252256
"286"	"YBR259W"	-0.197450461984202
"287"	"YBR260C"	-0.00715062425253674
"288"	"YBR261C"	-0.420756693538417
"289"	"YBR262C"	-0.395244771308302
"290"	"YBR263W"	-1.06251254654348
"291"	"YBR264C"	-0.120031449454591
"292"	"YBR266C"	-2.78464778611951
"293"	"YBR267W"	-0.236436928713851
"294"	"YBR269C"	0.339712679208677
"295"	"YBR270C"	-0.45843619450633
"296"	"YBR271W"	-0.246083606206617
"297"	"YBR274W"	0.382754382923278
"298"	"YBR275C"	-0.106228766790432
"299"	"YBR276C"	0.0638376251750829
"300"	"YBR277C"	0.0338654591682916
"301"	"YBR278W"	0.229696599881664
"302"	"YBR280C"	-0.501851775375801
"303"	"YBR281C"	0.264165678622946
"304"	"YBR283C"	0.108460345122257
"305"	"YBR284W"	0.122581174495346
"306"	"YBR285W"	0.0787045971183431
"307"	"YBR286W"	0.399932585808122
"308"	"YBR287W"	0.450962701779013
"309"	"YBR289W"	1.98556448885809
"310"	"YBR290W"	-0.168010382422424
"311"	"YBR291C"	0.397738944736207
"312"	"YBR292C"	0.0575022752422371
"313"	"YBR293W"	-0.0914606642075305
"314"	"YBR294W"	-0.0284809914637388
"315"	"YBR295W"	0.154556918707383
"316"	"YBR296C"	0.0719202449717146
"317"	"YBR297W"	-0.304343445232447
"318"	"YBR298C"	0.176428553044748
"319"	"YBR301W"	0.21632447871846
