"gene"	"Acetovanillone"
"316"	"YBR297W"	0.809198369565615
"317"	"YBR298C"	0.0871540854408468
"318"	"YBR301W"	-0.12836998969273
"319"	"YCL001W-A"	2.29162399527761
"320"	"YCL001W"	-0.212719570631177
"321"	"YCL006C"	-0.00683388489965912
"322"	"YCL010C"	-1.04776430929294
"323"	"YCL011C"	-0.161767830136283
"324"	"YCL012W"	-0.0595235030092049
"325"	"YCL013W"	0.1324563675443
"326"	"YCL014W"	0.135909389916201
"327"	"YCL016C"	1.41013158262389
"328"	"YCL022C"	-0.347848718007361
"329"	"YCL023C"	0.199199623429158
"330"	"YCL024W"	0.816616552773789
"331"	"YCL025C"	-0.148702957829767
"332"	"YCL026C-A"	-0.370603802916609
"333"	"YCL026C"	-0.0771270066557487
"334"	"YCL027W"	1.19433431734414
"335"	"YCL028W"	-0.300240628010855
"336"	"YCL029C"	0.576049274334443
"337"	"YCL034W"	1.27047559122509
"338"	"YCL035C"	-0.183725922031634
"339"	"YCL038C"	0.210723721065997
"340"	"YCL039W"	0.916182678632474
"341"	"YCL042W"	1.51808951167055
"342"	"YCL046W"	0.321008097701499
"343"	"YCL048W"	-0.000535552227263811
"344"	"YCL049C"	-0.133531293754118
"345"	"YCL050C"	-0.598567724279593
"346"	"YCL051W"	-0.118077900213558
"347"	"YCL055W"	0.181546982735807
"348"	"YCL057W"	-0.102055605679196
"349"	"YCL061C"	-0.00125421967209208
"350"	"YCL062W"	-0.0500525327867107
"351"	"YCL063W"	1.80293581062975
"352"	"YCL064C"	0.745732284608189
"353"	"YCL069W"	0.790244589393217
"354"	"YCL074W"	-0.7759950961192
"355"	"YCL075W"	-0.466144696860866
"356"	"YCL076W"	-0.163684445225165
"357"	"YCR001W"	0.681623622902674
"358"	"YCR005C"	-0.0300861072343872
"359"	"YCR006C"	1.26460904831698
"360"	"YCR007C"	-0.314374465348639
"361"	"YCR008W"	0.0953743242650547
"362"	"YCR009C"	-0.185429116003548
"363"	"YCR010C"	0.0654988778031742
"364"	"YCR011C"	0.0873838212569324
"365"	"YCR014C"	-0.152028721204989
"366"	"YCR015C"	-0.205393810319582
"367"	"YCR016W"	-0.301880464018451
"368"	"YCR017C"	-0.451793046188238
"369"	"YCR019W"	-0.354014905777345
"370"	"YCR020C-A"	1.92039939942334
"371"	"YCR020C"	-0.208500355490831
"372"	"YCR021C"	-0.134828330666921
"373"	"YCR022C"	-0.380780537592592
"374"	"YCR023C"	0.486579153618349
"375"	"YCR024C-A"	0.0562057721186564
"376"	"YCR025C"	0.848085209126187
"377"	"YCR027C"	0.0835937876415205
"378"	"YCR028C-A"	1.17506984291236
"379"	"YCR030C"	-0.290096653530602
"380"	"YCR031C"	0.31802483239465
"381"	"YCR032W"	-0.478094552728009
"382"	"YCR033W"	-0.524297528686246
"383"	"YCR034W"	0.549909108306276
"384"	"YCR036W"	0.446930922784787
"385"	"YCR037C"	-0.149761275942675
"386"	"YCR043C"	-0.0170749096451375
"387"	"YCR044C"	0.598456784874849
"388"	"YCR045C"	-0.11037436785852
"389"	"YCR048W"	-0.629692533872812
"390"	"YCR049C"	-0.208463117175564
"391"	"YCR050C"	0.0255874277636115
"392"	"YCR051W"	-0.0224239980307877
"393"	"YCR053W"	-0.488674219145532
"394"	"YCR059C"	0.794123417052975
"395"	"YCR060W"	-0.52004338422447
"396"	"YCR061W"	-0.706588224368805
"397"	"YCR062W"	0.941603510745267
"398"	"YCR065W"	-0.889251321228866
"399"	"YCR068W"	-0.220465479389768
"400"	"YCR069W"	0.0798035692115691
"401"	"YCR071C"	0.498508546221999
