"gene"	"Dipyridyl22"
"621"	"YDR134C"	0.0984917365421217
"622"	"YDR135C"	0.0345065249045547
"623"	"YDR139C"	-2.43972434692223
"624"	"YDR142C"	-0.062320037981357
"625"	"YDR143C"	0.0249683853298052
"626"	"YDR144C"	0.00164107538829902
"627"	"YDR146C"	0.540476391500848
"628"	"YDR147W"	-0.191946725665566
"629"	"YDR148C"	-0.00884846226376405
"630"	"YDR149C"	0.155808495081611
"631"	"YDR150W"	0.0905206915022535
"632"	"YDR153C"	-0.291716376751785
"633"	"YDR154C"	0.016866295140996
"634"	"YDR155C"	0.0471379615302608
"635"	"YDR156W"	0.115560809751126
"636"	"YDR157W"	0.150197075330749
"637"	"YDR158W"	0.0476375223966646
"638"	"YDR159W"	0.0246311714197613
"639"	"YDR161W"	0.0672509764551636
"640"	"YDR162C"	0.195079451151834
"641"	"YDR163W"	-0.109485671031966
"642"	"YDR165W"	0.240220289699844
"643"	"YDR169C"	0.0945931350564752
"644"	"YDR171W"	-0.0627571886236069
"645"	"YDR174W"	0.686490102382908
"646"	"YDR181C"	-0.0554196183307713
"647"	"YDR184C"	0.187371380583797
"648"	"YDR185C"	-0.0157998827186698
"649"	"YDR186C"	0.234812393898185
"650"	"YDR191W"	-0.0503572597986008
"651"	"YDR192C"	0.1458388049732
"652"	"YDR193W"	-0.109926701316539
"653"	"YDR198C"	-0.0662474361654606
"654"	"YDR202C"	-0.53539030414436
"655"	"YDR203W"	-0.00514911579124862
"656"	"YDR205W"	0.0860375642426768
"657"	"YDR206W"	-0.223932282834872
"658"	"YDR207C"	-0.899479869896979
"659"	"YDR209C"	-0.183148902129034
"660"	"YDR210W"	-0.0570016386574982
"661"	"YDR213W"	-0.198264445953952
"662"	"YDR214W"	-0.444373195807688
"663"	"YDR215C"	0.0905407745333894
"664"	"YDR216W"	-1.00622107251271
"665"	"YDR217C"	-1.17677055650942
"666"	"YDR218C"	-0.162117221077757
"667"	"YDR219C"	0.0776675634535563
"668"	"YDR220C"	0.00148312465155958
