"gene"	"MBO"
"71"	"YBL015W"	0.183765887371463
"72"	"YBL016W"	1.5848260031039
"73"	"YBL017C"	-0.143139773649006
"74"	"YBL019W"	0.231238656102481
"75"	"YBL021C"	-0.241588783202348
"76"	"YBL024W"	-0.372606169620732
"77"	"YBL027W"	-0.909480977586778
"78"	"YBL028C"	0.0729668157963562
"79"	"YBL029W"	-0.756312201915493
"80"	"YBL031W"	0.22491178352131
"81"	"YBL032W"	0.45136739965394
"82"	"YBL036C"	0.225405716694973
"83"	"YBL037W"	-0.58270434400282
"84"	"YBL039C"	0.271672471097455
"85"	"YBL042C"	0.232386594353483
"86"	"YBL043W"	1.81437297211978
"87"	"YBL046W"	-0.0701039583996691
"88"	"YBL048W"	0.174293554400507
"89"	"YBL049W"	-0.0920482302859043
"90"	"YBL051C"	-2.90860434444259
"91"	"YBL052C"	0.358204499337426
"92"	"YBL053W"	0.620328616312079
"93"	"YBL054W"	0.237945022095114
"94"	"YBL055C"	-0.634272744037478
"95"	"YBL056W"	0.433934030392585
"96"	"YBL057C"	0.0876347865074313
"97"	"YBL059W"	-0.367855059675944
"98"	"YBL060W"	-0.0235196522591665
"99"	"YBL061C"	0.645610770665908
"100"	"YBL062W"	0.411101926277654
"101"	"YBL063W"	0.140004693491033
"102"	"YBL064C"	-1.30460513604396
"103"	"YBL065W"	0.093489650290107
"104"	"YBL066C"	-0.192286766125967
"105"	"YBL067C"	0.492204042896121
"106"	"YBL068W"	0.208888096946615
"107"	"YBL069W"	-0.0687481855158477
"108"	"YBL070C"	0.0456734771972297
"109"	"YBL071C"	0.25474724580985
"110"	"YBL072C"	1.04320158644293
"111"	"YBL075C"	0.0438548320302988
"112"	"YBL078C"	0.365248495044496
"113"	"YBL079W"	-0.482250012405671
"114"	"YBL081W"	-0.000834428146804918
"115"	"YBL082C"	-0.37254679480454
"116"	"YBL083C"	-0.41832721745288
"117"	"YBL085W"	-0.147485588337844
"118"	"YBL086C"	0.036883004994663
"119"	"YBL087C"	0.294773336831554
"120"	"YBL088C"	0.0177965744929658
"121"	"YBL089W"	-0.946323035089773
"122"	"YBL091C-A"	-0.214723762104379
"123"	"YBL091C"	0.0150690329337443
"124"	"YBL094C"	-0.155346198476751
"125"	"YBL095W"	-0.264854027887306
