"gene"	"AcetoSyringone"
"400"	"YCR069W"	-0.00208436299535288
"401"	"YCR071C"	0.331555047521324
"402"	"YCR073C"	-0.659750607672967
"403"	"YCR073W-A"	-1.29715739971122
"404"	"YCR075C"	0.211309198567335
"405"	"YCR076C"	0.179412301972516
"406"	"YCR077C"	0.0152600119413445
"407"	"YCR079W"	0.221864202205965
"408"	"YCR081W"	-0.00470837413649579
"409"	"YCR082W"	-1.34489397828399
"410"	"YCR085W"	-0.10557969506226
"411"	"YCR086W"	-0.640268183881996
"412"	"YCR087C-A"	0.407429808587312
"413"	"YCR087W"	-0.158812148512468
"414"	"YCR088W"	-1.75840152626322
"415"	"YCR090C"	0.197256709428172
"416"	"YCR092C"	0.00994116280475131
"417"	"YCR095C"	0.0257573861670459
"418"	"YCR098C"	0.0796739887050528
"419"	"YCR099C"	-1.17149232769028
"420"	"YCR100C"	-0.119221307415987
"421"	"YCR101C"	-0.0695274613890079
"422"	"YCR102C"	0.0390762452116178
"423"	"YCR102W-A"	-0.753516931089237
"424"	"YCR105W"	0.0380735968044968
"425"	"YCR106W"	-0.198213382164839
"426"	"YCR107W"	0.202068609297576
"427"	"YDL001W"	2.57102264955717
"428"	"YDL002C"	3.04121399660711
"429"	"YDL006W"	2.43046636185936
"430"	"YDL010W"	0.309570318055316
"431"	"YDL011C"	0.823729825119232
"432"	"YDL012C"	1.70782399640962
"433"	"YDL013W"	3.05985227516527
"434"	"YDL018C"	0.482749062904533
"435"	"YDL019C"	0.167711547871202
"436"	"YDL020C"	0.776046212246461
"437"	"YDL024C"	-0.139723014154512
"438"	"YDL025C"	0.265775767336487
"439"	"YDL026W"	0.301661374767945
"440"	"YDL035C"	-0.443914500855214
"441"	"YDL036C"	0.331521576107315
"442"	"YDL037C"	0.396302415369464
"443"	"YDL038C"	0.179515639875781
"444"	"YDL039C"	0.141602039873207
"445"	"YDL048C"	0.664009544594948
"446"	"YDL050C"	0.440005122276344
"447"	"YDL051W"	0.382839797100889
"448"	"YDL052C"	-0.0867953157475067
"449"	"YDL054C"	-0.197706528567579
"450"	"YDL056W"	0.479354803340276
"451"	"YDL059C"	0.361233785614214
"452"	"YDL063C"	0.851954161312119
"453"	"YDL066W"	-0.857802984147213
"454"	"YDL070W"	-2.59704741941027
"455"	"YDL071C"	-1.85354848613017
"456"	"YDL074C"	-1.60291342359447
"457"	"YDL076C"	0.400099954451365
"458"	"YDL077C"	2.71931275315844
"459"	"YDL078C"	1.27866109398648
"460"	"YDL079C"	0.180400111613316
"461"	"YDL080C"	-0.414508879533322
"462"	"YDL081C"	2.25009290711663
"463"	"YDL082W"	0.739608492270144
"464"	"YDL083C"	0.589991543189355
"465"	"YDL085W"	0.0799543479717265
"466"	"YDL086W"	-0.21741356604218
"467"	"YDL088C"	-0.410342580386392
"468"	"YDL089W"	-0.776257432588989
"469"	"YDL091C"	0.302743913671521
"470"	"YDL093W"	0.428171572791797
"471"	"YDL094C"	0.250699331683593
"472"	"YDL095W"	1.74320647813301
"473"	"YDL096C"	2.82364884357308
"474"	"YDL100C"	1.51789401958201
"475"	"YDL104C"	-1.08363021315417
"476"	"YDL106C"	0.479919136121278
"477"	"YDL109C"	0.127658760903118
"478"	"YDL110C"	0.0346195750586938
"479"	"YDL112W"	0.0363530812130721
"480"	"YDL114W"	0.442267059553419
"481"	"YDL117W"	-2.27106213565005
"482"	"YDL119C"	-1.13601128354499
"483"	"YDL121C"	0.153737004334536
"484"	"YDL122W"	-0.728114761412723
"485"	"YDL123W"	0.182578557994581
"486"	"YDL127W"	-0.23959439562325
"487"	"YDL128W"	1.56108382958902
"488"	"YDL130W-A"	-0.2547253613756
"489"	"YDL130W"	0.112433234590219
"490"	"YDL131W"	-1.02261198252709
"491"	"YDL133C-A"	0.302745773934252
"492"	"YDL134C"	0.571197857472254
"493"	"YDL136W"	1.20654729907509
"494"	"YDL137W"	0.435035955296913
"495"	"YDL142C"	0.452755909269907
"496"	"YDL144C"	-0.57967493320318
"497"	"YDL149W"	0.330592093550556
"498"	"YDL154W"	-0.179418490575804
"499"	"YDL155W"	0.305671381492728
"500"	"YDL156W"	-0.185682575524457
"501"	"YDL161W"	0.340343895605182
"502"	"YDL162C"	-1.09181725507871
"503"	"YDL168W"	0.103651809987322
"504"	"YDL169C"	-0.0972919478281707
"505"	"YDL170W"	0.590500341087813
"506"	"YDL171C"	0.165599654078224
"507"	"YDL172C"	0.00553848695599648
"508"	"YDL173W"	-0.340637172628976
"509"	"YDL174C"	-0.129377550905813
"510"	"YDL175C"	-0.886988975789984
"511"	"YDL177C"	-0.140243413330412
"512"	"YDL178W"	0.422228434556857
"513"	"YDL180W"	0.142989321494363
"514"	"YDL182W"	0.282650120220856
"515"	"YDL184C"	-0.23841612028694
"516"	"YDL186W"	0.639502791161205
"517"	"YDL187C"	-0.260787271973583
"518"	"YDL188C"	0.0682405927300271
"519"	"YDL189W"	-0.131266510553787
"520"	"YDL190C"	-0.435198622027687
"521"	"YDL191W"	-1.28847179938128
"522"	"YDL194W"	-2.60483921776657
"523"	"YDL197C"	-2.75862190149827
"524"	"YDL199C"	0.0940448365492606
"525"	"YDL200C"	-0.0820679706466911
"526"	"YDL201W"	0.304718014615368
"527"	"YDL203C"	-0.103980945484131
"528"	"YDL204W"	0.217327055936529
"529"	"YDL210W"	-0.441448913068632
"530"	"YDL211C"	-0.267277029376131
"531"	"YDL215C"	-0.294946162038332
"532"	"YDL218W"	0.942490169129093
"533"	"YDL219W"	-0.00105946534402137
"534"	"YDL223C"	-0.312669086237286
"535"	"YDL224C"	-1.05255320022384
"536"	"YDL226C"	-0.562939326362665
"537"	"YDL227C"	-0.32771314996608
"538"	"YDL229W"	-0.414316354537804
"539"	"YDL230W"	-0.421249151509736
"540"	"YDL231C"	-0.58747336312284
"541"	"YDL233W"	-0.116123301269709
"542"	"YDL236W"	-0.846926198655312
"543"	"YDL237W"	0.399837363526312
"544"	"YDL239C"	-0.563543297965042
"545"	"YDL240W"	-0.30360488617236
"546"	"YDL241W"	-0.254854864900286
"547"	"YDL242W"	-0.22547431085933
"548"	"YDL243C"	-0.0664768442491086
"549"	"YDR001C"	0.734816587849188
"550"	"YDR004W"	2.73033006300131
"551"	"YDR005C"	2.78636751879423
"552"	"YDR006C"	2.97713139722675
"553"	"YDR007W"	2.96651736729126
"554"	"YDR009W"	0.389874345356477
"555"	"YDR010C"	-0.649941995184665
"556"	"YDR011W"	2.50938019355617
"557"	"YDR014W"	0.235679029292532
"558"	"YDR015C"	0.272594619244249
"559"	"YDR018C"	0.65551550564291
"560"	"YDR019C"	2.69780161044894
"561"	"YDR020C"	0.323514191224723
"562"	"YDR022C"	0.828766054232247
"563"	"YDR024W"	0.987063330945328
"564"	"YDR025W"	0.876197301747712
"565"	"YDR026C"	1.09449898139584
"566"	"YDR030C"	0.987033966072597
"567"	"YDR033W"	-1.27011454849016
"568"	"YDR035W"	0.534997839321414
"569"	"YDR036C"	-0.313749127048147
"570"	"YDR046C"	-0.192245126245055
"571"	"YDR048C"	0.141103911097879
"572"	"YDR049W"	0.948937172278347
"573"	"YDR051C"	0.260353730742634
"574"	"YDR055W"	-0.164145533572853
"575"	"YDR057W"	0.49059887442463
"576"	"YDR058C"	-0.670937173557978
"577"	"YDR061W"	0.428895852509294
"578"	"YDR063W"	-1.48425996898159
"579"	"YDR066C"	0.580767714935896
"580"	"YDR067C"	0.670022100787548
"581"	"YDR068W"	0.129842061134532
"582"	"YDR070C"	-1.81629694312257
"583"	"YDR071C"	0.460253418592998
"584"	"YDR072C"	-0.157265250456584
"585"	"YDR073W"	0.790983434283196
"586"	"YDR074W"	0.41703518133142
"587"	"YDR076W"	-0.776995895269759
"588"	"YDR080W"	2.49211482735759
"589"	"YDR083W"	-0.750872600756329
"590"	"YDR085C"	0.0850862508232637
"591"	"YDR089W"	-0.0381010474123017
"592"	"YDR090C"	0.382192662366144
"593"	"YDR092W"	-4.00170414624877
"594"	"YDR093W"	-0.654371258755572
"595"	"YDR094W"	0.397473408993497
"596"	"YDR095C"	0.0888017017364215
"597"	"YDR097C"	0.267360615076271
"598"	"YDR098C"	-0.0137155741837382
"599"	"YDR099W"	0.838433627604275
"600"	"YDR100W"	0.362454786667643
"601"	"YDR101C"	-0.22818101848469
"602"	"YDR102C"	-0.122428634460502
"603"	"YDR104C"	-0.0723918591315948
"604"	"YDR108W"	-3.17260565140502
"605"	"YDR109C"	0.201826540429151
"606"	"YDR110W"	0.297477500958647
"607"	"YDR111C"	0.352288433227764
"608"	"YDR112W"	0.0241909833704979
"609"	"YDR116C"	0.544666025771909
"610"	"YDR117C"	-2.53724853845364
"611"	"YDR119W"	0.107468261027294
"612"	"YDR120C"	0.837719558153643
"613"	"YDR121W"	0.538459276949675
"614"	"YDR122W"	-0.0273549165666626
