"Inhibitor"	"Direction"	"Deletion"	"log_FC"
"421"	"45Methylimidazole"	"up"	"YHR061C"	1.13981648175936
"431"	"45Methylimidazole"	"up"	"YKL211C"	1.47828464993774
"441"	"45Methylimidazole"	"up"	"YKL216W"	1.27343675234357
"451"	"45Methylimidazole"	"up"	"YOR044W"	1.05679515700801
"461"	"45Methylimidazole"	"up"	"YGR042W"	1.23571062846738
"471"	"45Methylimidazole"	"up"	"YDL162C"	1.18853139542361
"48"	"45Methylimidazole"	"up"	"YPL052W"	1.28784157342961
"491"	"45Methylimidazole"	"up"	"YCR001W"	1.04730566546742
"501"	"45Methylimidazole"	"up"	"YDL114W"	1.07184059225734
"512"	"45Methylimidazole"	"up"	"YMR124W"	1.47408474265115
"521"	"45Methylimidazole"	"up"	"YHR157W"	1.93500655227786
"531"	"45Methylimidazole"	"up"	"YHR167W"	1.85205436928443
"541"	"45Methylimidazole"	"up"	"YHL005C"	1.23376760776319
"551"	"45Methylimidazole"	"up"	"YDL080C"	1.68682319797535
"561"	"45Methylimidazole"	"up"	"YKR064W"	1.20988040811408
"571"	"45Methylimidazole"	"up"	"YPR117W"	1.04469684976927
"581"	"45Methylimidazole"	"up"	"YNL140C"	1.19394830004657
"591"	"45Methylimidazole"	"up"	"YLR018C"	1.09238878229954
"601"	"45Methylimidazole"	"up"	"YMR030W"	1.25113649102546
"611"	"45Methylimidazole"	"up"	"YIL153W"	1.29057380656312
"621"	"45Methylimidazole"	"up"	"YPL244C"	1.16627734858545
"130"	"4OHAcetophenone"	"up"	"YMR143W"	2.35881338342006
"214"	"4OHAcetophenone"	"up"	"YER092W"	1.80618342542222
"314"	"4OHAcetophenone"	"up"	"YGL105W"	2.29230128876318
"413"	"4OHAcetophenone"	"up"	"YBR115C"	1.56159516226008
"513"	"4OHAcetophenone"	"up"	"YBR266C"	1.55437066255414
"612"	"4OHAcetophenone"	"up"	"YHR018C"	1.62276356997095
"712"	"4OHAcetophenone"	"up"	"YGR184C"	2.48831052861488
"812"	"4OHAcetophenone"	"up"	"YMR039C"	1.59952269637003
"912"	"4OHAcetophenone"	"up"	"YEL063C"	2.44164166762046
"1010"	"4OHAcetophenone"	"up"	"YBR082C"	1.68882012603354
"1111"	"4OHAcetophenone"	"up"	"YFL013C"	1.55496827013048
"1211"	"4OHAcetophenone"	"up"	"YBR291C"	1.62210331016047
"132"	"4OHAcetophenone"	"up"	"YJR118C"	1.56119271711111
"141"	"4OHAcetophenone"	"up"	"YOR304W"	1.52971879407435
"152"	"4OHAcetophenone"	"up"	"YJL120W"	2.74057922624139
"253"	"4OHAcetophenone"	"down"	"YLR426W"	-3.55739422379165
"263"	"4OHAcetophenone"	"down"	"YHL031C"	-3.05757635724322
"273"	"4OHAcetophenone"	"down"	"YFL031W"	-1.63708001360766
"283"	"4OHAcetophenone"	"down"	"YDL119C"	-2.58604473346818
"292"	"4OHAcetophenone"	"down"	"YNL153C"	-2.11244880732742
"302"	"4OHAcetophenone"	"down"	"YBR164C"	-2.2945742194112
"315"	"4OHAcetophenone"	"down"	"YOL116W"	-1.56761629858682
"322"	"4OHAcetophenone"	"down"	"YLR055C"	-2.37323970799077
"332"	"4OHAcetophenone"	"down"	"YDR485C"	-3.52961433053521
"342"	"4OHAcetophenone"	"down"	"YER056C-A"	-1.54532409442383
"352"	"4OHAcetophenone"	"down"	"YBR231C"	-3.34041718380412
"362"	"4OHAcetophenone"	"down"	"YHL025W"	-1.85048298206081
"372"	"4OHAcetophenone"	"down"	"YFL001W"	-2.74562668357754
"382"	"4OHAcetophenone"	"down"	"YKL008C"	-1.64640742810317
"392"	"4OHAcetophenone"	"down"	"YJL004C"	-1.64602763483857
"402"	"4OHAcetophenone"	"down"	"YDR162C"	-1.69664310984325
"414"	"4OHAcetophenone"	"down"	"YCR053W"	-1.95976756030546
"422"	"4OHAcetophenone"	"down"	"YDR334W"	-5.11916963867973
"432"	"4OHAcetophenone"	"down"	"YPL051W"	-2.88836646999048
"442"	"4OHAcetophenone"	"down"	"YLR085C"	-3.01983509630294
"452"	"4OHAcetophenone"	"down"	"YOL081W"	-1.89822561353639
"462"	"4OHAcetophenone"	"down"	"YGL023C"	-1.60280504548923
"472"	"4OHAcetophenone"	"down"	"YML071C"	-2.27872531327919
"481"	"4OHAcetophenone"	"down"	"YOR014W"	-6.10452005420399
"133"	"4OHBenzaldehyde"	"up"	"YMR143W"	1.6671481171862
"215"	"4OHBenzaldehyde"	"up"	"YJL120W"	3.29605468778962
"316"	"4OHBenzaldehyde"	"up"	"YGL105W"	1.70964154032374
"415"	"4OHBenzaldehyde"	"up"	"YDR121W"	1.50835000141189
"514"	"4OHBenzaldehyde"	"up"	"YER092W"	1.13253415073938
"613"	"4OHBenzaldehyde"	"up"	"YMR307W"	2.17033716824605
"713"	"4OHBenzaldehyde"	"up"	"YGR184C"	1.33657477135204
"813"	"4OHBenzaldehyde"	"up"	"YBR200W"	1.37999489365884
"913"	"4OHBenzaldehyde"	"up"	"YEL063C"	1.26346729607963
"1011"	"4OHBenzaldehyde"	"up"	"YKL050C"	1.49736789949198
"393"	"4OHBenzaldehyde"	"down"	"YLR426W"	-2.86645253662923
"403"	"4OHBenzaldehyde"	"down"	"YAL026C"	-2.76045807067302
"416"	"4OHBenzaldehyde"	"down"	"YOR008C-A"	-3.27624143153339
"423"	"4OHBenzaldehyde"	"down"	"YHL031C"	-4.21854538815894
"433"	"4OHBenzaldehyde"	"down"	"YDL142C"	-1.93748275896795
"443"	"4OHBenzaldehyde"	"down"	"YIL066C"	-1.42194361324964
"453"	"4OHBenzaldehyde"	"down"	"YGL124C"	-1.59151553798738
"463"	"4OHBenzaldehyde"	"down"	"YLR380W"	-2.2145627156233
"473"	"4OHBenzaldehyde"	"down"	"YML048W"	-1.59390074131232
"482"	"4OHBenzaldehyde"	"down"	"YIL098C"	-2.16446942842129
"492"	"4OHBenzaldehyde"	"down"	"YDR162C"	-2.0607646973915
"502"	"4OHBenzaldehyde"	"down"	"YIL160C"	-1.77568903965711
"515"	"4OHBenzaldehyde"	"down"	"YBR164C"	-1.6756280979532
"522"	"4OHBenzaldehyde"	"down"	"YER083C"	-4.12133314443555
"532"	"4OHBenzaldehyde"	"down"	"YJL004C"	-1.46532835778432
"542"	"4OHBenzaldehyde"	"down"	"YGL020C"	-2.24763264897742
"552"	"4OHBenzaldehyde"	"down"	"YMR198W"	-5.1975724993369
"562"	"4OHBenzaldehyde"	"down"	"YDL119C"	-1.91930270717833
"572"	"4OHBenzaldehyde"	"down"	"YNL153C"	-1.30284819333038
"582"	"4OHBenzaldehyde"	"down"	"YPR141C"	-2.5520477056606
"592"	"4OHBenzaldehyde"	"down"	"YHL025W"	-1.86394550425757
"602"	"4OHBenzaldehyde"	"down"	"YCR053W"	-1.82742944117
"614"	"4OHBenzaldehyde"	"down"	"YFL001W"	-2.26159136344068
"622"	"4OHBenzaldehyde"	"down"	"YJR120W"	-3.65622235484892
"631"	"4OHBenzaldehyde"	"down"	"YPL161C"	-1.48312731859317
"641"	"4OHBenzaldehyde"	"down"	"YOL081W"	-1.47946100717256
"652"	"4OHBenzaldehyde"	"down"	"YDR354W"	-1.37498839628334
"662"	"4OHBenzaldehyde"	"down"	"YDR512C"	-2.0364131937797
"672"	"4OHBenzaldehyde"	"down"	"YNL098C"	-1.45634285931397
"682"	"4OHBenzaldehyde"	"down"	"YLR262C"	-2.63285795820942
"692"	"4OHBenzaldehyde"	"down"	"YPL051W"	-1.75739692250817
"702"	"4OHBenzaldehyde"	"down"	"YLR268W"	-2.1251926771878
"714"	"4OHBenzaldehyde"	"down"	"YMR183C"	-1.50131963240384
"722"	"4OHBenzaldehyde"	"down"	"YML081C-A"	-1.24933611723775
"732"	"4OHBenzaldehyde"	"down"	"YML071C"	-1.48683556152875
"742"	"4OHBenzaldehyde"	"down"	"YDR360W"	-1.42495577668174
"752"	"4OHBenzaldehyde"	"down"	"YKL212W"	-1.74833384704986
"762"	"4OHBenzaldehyde"	"down"	"YGL043W"	-1.22251527905749
"134"	"4OHBenzoicAcid"	"up"	"YMR289W"	1.10654165863677
"216"	"4OHBenzoicAcid"	"up"	"YNL223W"	1.03103699800971
"317"	"4OHBenzoicAcid"	"up"	"YHL028W"	1.09828111298896
"417"	"4OHBenzoicAcid"	"up"	"YPR172W"	1.04043173488402
"516"	"4OHBenzoicAcid"	"up"	"YER097W"	0.948521048504106
"615"	"4OHBenzoicAcid"	"up"	"YDR285W"	0.863894659120181
"715"	"4OHBenzoicAcid"	"up"	"YMR031W-A"	1.22411740568882
"814"	"4OHBenzoicAcid"	"up"	"YMR307W"	0.890926577692431
"914"	"4OHBenzoicAcid"	"up"	"YBR283C"	1.10227066211404
"1012"	"4OHBenzoicAcid"	"up"	"YAR003W"	1.06894599478942
"1112"	"4OHBenzoicAcid"	"up"	"YKL211C"	1.15645908107092
"1212"	"4OHBenzoicAcid"	"up"	"YCL027W"	0.99014642661565
"135"	"4OHBenzoicAcid"	"up"	"YPL244C"	1.23883699688086
"142"	"4OHBenzoicAcid"	"up"	"YNL334C"	1.09282532242433
"153"	"4OHBenzoicAcid"	"up"	"YGR149W"	0.861303631173283
"162"	"4OHBenzoicAcid"	"up"	"YOL160W"	1.19485241034287
"172"	"4OHBenzoicAcid"	"up"	"YER066W"	0.874250001732566
"182"	"4OHBenzoicAcid"	"up"	"YBR118W"	0.927138099982409
"192"	"4OHBenzoicAcid"	"up"	"YMR030W"	0.967966531311023
"202"	"4OHBenzoicAcid"	"up"	"YJR053W"	0.898098638957363
"217"	"4OHBenzoicAcid"	"up"	"YKL216W"	0.867165087016501
"223"	"4OHBenzoicAcid"	"down"	"YNL125C"	-1.24166490696408
"232"	"4OHBenzoicAcid"	"down"	"YOL090W"	-1.44815565562138
"243"	"4OHBenzoicAcid"	"down"	"YDL119C"	-0.866746917763204
"254"	"4OHBenzoicAcid"	"down"	"YEL063C"	-1.04771564835192
"264"	"4OHBenzoicAcid"	"down"	"YGR184C"	-0.883176839181817
"274"	"4OHBenzoicAcid"	"down"	"YDR213W"	-0.862682029461391
"136"	"5HMF"	"up"	"YJL120W"	2.98984722119846
"218"	"5HMF"	"up"	"YGL195W"	2.08785681233777
"318"	"5HMF"	"up"	"YFR009W"	1.73920764617401
"418"	"5HMF"	"up"	"YMR143W"	0.92761844313568
"517"	"5HMF"	"up"	"YKR026C"	1.23500624482984
"616"	"5HMF"	"up"	"YJL101C"	1.18694910365088
"716"	"5HMF"	"up"	"YMR307W"	1.56688605687274
"815"	"5HMF"	"up"	"YGR184C"	0.998518452420036
"915"	"5HMF"	"up"	"YGL084C"	0.867689899891045
"1013"	"5HMF"	"up"	"YKR082W"	1.01619669249454
"1113"	"5HMF"	"up"	"YOL001W"	1.33208334048103
"1213"	"5HMF"	"up"	"YDR159W"	1.35426798023881
"137"	"5HMF"	"up"	"YAL010C"	1.26745030397509
"143"	"5HMF"	"down"	"YMR283C"	-2.81017292627452
"154"	"5HMF"	"down"	"YER151C"	-2.62448883444347
"163"	"5HMF"	"down"	"YKL079W"	-1.17328817048339
"173"	"5HMF"	"down"	"YLR032W"	-2.13614701659654
"183"	"5HMF"	"down"	"YBR025C"	-1.50855406401093
"193"	"5HMF"	"down"	"YMR183C"	-1.47917513882992
"203"	"5HMF"	"down"	"YFL001W"	-1.33774237567011
"219"	"5HMF"	"down"	"YNL273W"	-0.980111644995572
"224"	"5HMF"	"down"	"YDR360W"	-1.0777027569383
"233"	"5HMF"	"down"	"YLR315W"	-1.41356378938988
"138"	"Acetamide"	"up"	"YAL023C"	1.0158247918009
"2110"	"Acetamide"	"down"	"YCR086W"	-2.78959270083805
"225"	"Acetamide"	"down"	"YJR140C"	-1.15635381376278
"234"	"Acetamide"	"down"	"YDR074W"	-1.24479514819538
"244"	"Acetamide"	"down"	"YKL050C"	-2.63010401466687
"255"	"Acetamide"	"down"	"YDR451C"	-1.23703194147605
"265"	"Acetamide"	"down"	"YNR010W"	-0.98203758250402
"275"	"Acetamide"	"down"	"YBR200W"	-1.12967828143599
"284"	"Acetamide"	"down"	"YOR038C"	-1.10056738942304
"293"	"Acetamide"	"down"	"YLR113W"	-1.93606105248169
"303"	"Acetamide"	"down"	"YER156C"	-1.34665241544607
"319"	"Acetamide"	"down"	"YCR081W"	-1.28514118023621
