"Inhibitor.1"	"Inhibitor.2"	"Pearson.cor.coef"	"p.value"	"Bonf_corrected_p.value"	"ID"
"1645"	"Vanillin"	"4OHBenzaldehyde"	0.698705980321748	2.29131698050665e-16	1.28313750908372e-14	"Phenolic aldehyde - Phenolic aldehyde"
"1072"	"FeruloylAmide"	"DMSO"	0.759318937667729	7.03745919262684e-22	3.94097714787103e-20	"Phenolic amide - Solvent"
"1616"	"VanillicAcid"	"CoumaricAcid"	0.639446313941184	2.00651379843664e-11	1.12364772712452e-09	"Phenolic acid - Phenolic acid"
"1019"	"FerulicAcid"	"AcetoSyringone"	0.617844526015816	3.80729912656909e-15	2.13208751087869e-13	"Phenolic acid - Phenone"
"1621"	"VanillicAcid"	"FerulicAcid"	0.712487354766934	1.08267604728418e-17	6.06298586479143e-16	"Phenolic acid - Phenolic acid"
"1029"	"FerulicAcid"	"CoumaroylAmide"	0.833846750358556	2.82778819406096e-33	1.58356138867414e-31	"Phenolic acid - Phenolic amide"
"1631"	"VanillicAcid"	"SinapicAcid"	0.762866315192451	1.8516789151669e-20	1.03694019249347e-18	"Phenolic acid - Phenolic acid"
"1445"	"SinapicAcid"	"CV"	0.764454717914208	3.30703458514322e-25	1.8519393676802e-23	"Phenolic acid - Cationic toxin/IL"
"938"	"EMIMCl"	"BMIMCl"	0.845359559667808	2.31660479010475e-19	1.29729868245866e-17	"Cationic toxin/IL - Cationic toxin/IL"
"1448"	"SinapicAcid"	"CoumaricAcid"	0.824105532787977	1.98604578577912e-26	1.1121856400363e-24	"Phenolic acid - Phenolic acid"
"1062"	"FeruloylAmide"	"Acetovanillone"	0.754250488203702	4.37236996700669e-21	2.44852718152375e-19	"Phenolic amide - Phenone"
"1454"	"SinapicAcid"	"FeruloylAmide"	0.677799078839876	1.64774680205589e-16	9.22738209151296e-15	"Phenolic acid - Phenolic amide"
"860"	"CoumaroylAmide"	"CoumaricAcid"	0.823266066736056	1.57068694384751e-32	8.79584688554604e-31	"Phenolic amide - Phenolic acid"
"1025"	"FerulicAcid"	"CV"	0.762688606657501	2.52480787527164e-27	1.41389241015212e-25	"Phenolic acid - Cationic toxin/IL"
"426"	"AcetoSyringone"	"4OHAcetophenone"	0.84658720399509	1.25787496115411e-31	7.04409978246304e-30	"Phenone - Phenone"
"468"	"Acetovanillone"	"4OHAcetophenone"	0.806686118736724	5.0051346404998e-16	2.80287539867989e-14	"Phenone - Phenone"
"1453"	"SinapicAcid"	"FerulicAcid"	0.876453125647058	7.86631012507668e-34	4.40513367004294e-32	"Phenolic acid - Phenolic acid"
"1061"	"FeruloylAmide"	"AcetoSyringone"	0.820225474276368	1.14549553476066e-29	6.41477499465972e-28	"Phenolic amide - Phenone"
"473"	"Acetovanillone"	"AcetoSyringone"	0.884679062325402	6.45910752346074e-35	3.61710021313802e-33	"Phenone - Phenone"
"1028"	"FerulicAcid"	"CoumaricAcid"	0.926043055897504	7.79575253089911e-43	4.3656214173035e-41	"Phenolic acid - Phenolic acid"
