Inhibitor	Direction	Deletion
264	24Dimethylimidazole	up	YMR060C
265	24Dimethylimidazole	up	YNL013C
266	24Dimethylimidazole	up	YJL124C
267	24Dimethylimidazole	up	YHR094C
268	24Dimethylimidazole	up	YJL043W
269	24Dimethylimidazole	up	YDL133C-A
270	24Dimethylimidazole	up	YLR341W
271	24Dimethylimidazole	up	YPL158C
272	24Dimethylimidazole	up	YML026C
273	24Dimethylimidazole	up	YLR267W
274	24Dimethylimidazole	up	YFR032C
275	24Dimethylimidazole	up	YMR187C
276	24Dimethylimidazole	up	YMR225C
277	24Dimethylimidazole	up	YDR262W
278	24Dimethylimidazole	up	YER096W
279	24Dimethylimidazole	up	YOL068C
280	24Dimethylimidazole	up	YDR415C
281	24Dimethylimidazole	up	YER010C
282	24Dimethylimidazole	up	YGL181W
283	24Dimethylimidazole	up	YJR051W
284	24Dimethylimidazole	up	YMR278W
285	24Dimethylimidazole	up	YOR059C
286	24Dimethylimidazole	up	YMR294W
287	24Dimethylimidazole	up	YLR082C
288	24Dimethylimidazole	up	YIL092W
289	24Dimethylimidazole	up	YDR261C
290	24Dimethylimidazole	up	YML108W
291	24Dimethylimidazole	up	YCL035C
292	24Dimethylimidazole	up	YOR101W
293	24Dimethylimidazole	up	YBR104W
294	24Dimethylimidazole	up	YCL010C
295	24Dimethylimidazole	up	YNL265C
296	24Dimethylimidazole	up	YAL053W
297	24Dimethylimidazole	up	YGR088W
298	24Dimethylimidazole	up	YIL087C
299	24Dimethylimidazole	up	YML006C
300	24Dimethylimidazole	up	YNL183C
301	24Dimethylimidazole	up	YHL031C
302	24Dimethylimidazole	up	YMR279C
303	24Dimethylimidazole	up	YOR022C
304	24Dimethylimidazole	up	YDR516C
305	24Dimethylimidazole	up	YKR027W
306	24Dimethylimidazole	up	YDL161W
307	24Dimethylimidazole	up	YER177W
308	24Dimethylimidazole	up	YNL116W
309	24Dimethylimidazole	up	YOR280C
310	24Dimethylimidazole	up	YOL046C
311	24Dimethylimidazole	up	YNL009W
312	24Dimethylimidazole	up	YDR307W
313	24Dimethylimidazole	up	YDR024W
314	24Dimethylimidazole	up	YOR247W
315	24Dimethylimidazole	up	YDR014W
316	24Dimethylimidazole	up	YLR073C
317	24Dimethylimidazole	up	YIL055C
318	24Dimethylimidazole	up	YER091C
319	24Dimethylimidazole	up	YDR378C
320	24Dimethylimidazole	up	YER081W
321	24Dimethylimidazole	up	YDR010C
322	24Dimethylimidazole	up	YBR059C
323	24Dimethylimidazole	up	YOR041C
324	24Dimethylimidazole	up	YDR146C
325	24Dimethylimidazole	up	YGL226W
326	24Dimethylimidazole	up	YDL096C
327	24Dimethylimidazole	up	YGR051C
328	24Dimethylimidazole	up	YHR105W
329	24Dimethylimidazole	up	YOL163W
330	24Dimethylimidazole	up	YDL112W
331	24Dimethylimidazole	up	YDR372C
332	24Dimethylimidazole	up	YDR247W
333	24Dimethylimidazole	up	YHR093W
